#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
574	DaShawn Keirsey Jr.	ATL	14	27	25	5	1	0	0	3	2	2	8	0	2	0	.213	.268	.317	.585	.259	63	0.1	0.1	-1.1	-0.2	0.0	999.0	1.42	-2.66	2.30
575	Wade Meckler	LAA	11	33	29	6	1	0	0	3	3	3	8	0	0	0	.222	.300	.290	.590	.267	67	0.0	0.0	-1.2	-0.4	0.0	999.0	0.89	0.94	2.35
576	Mickey Gasper	BOS	13	38	34	8	1	0	1	4	4	3	8	0	0	0	.231	.308	.338	.646	.289	79	0.0	-1.8	-1.0	-0.8	-0.1	999.0	2.91	-0.16	2.41
577	Abimelec Ortiz	WSN	51	200	181	40	8	1	7	22	24	16	52	2	1	0	.222	.290	.383	.673	.294	87	-0.3	0.2	-3.4	-3.8	-0.1	999.0	1.90	1.29	3.45
578	Gustavo Campero	LAA	8	26	23	6	1	0	0	3	3	2	5	0	1	0	.237	.302	.334	.637	.284	79	0.1	-0.5	-0.6	-0.9	-0.1	999.0	2.33	0.04	2.32
579	Warming Bernabel		20	64	60	15	3	0	1	6	7	3	11	0	1	0	.246	.284	.366	.650	.283	79	-0.1	0.1	-1.6	-1.1	-0.1	999.0	1.90	0.68	2.47
580	Nelson Velázquez	STL	41	164	148	33	6	1	6	18	19	13	44	1	2	1	.222	.291	.397	.687	.299	90	0.1	-1.9	-1.9	-4.3	-0.1	748.6	2.12	-0.16	3.16
581	Yanquiel Fernández	NYY	23	77	71	16	3	0	2	7	8	5	19	0	0	0	.222	.274	.364	.638	.277	75	-0.2	0.0	-2.4	-0.8	-0.1	999.0	1.46	-0.32	2.63
582	Justin Turner		36	124	112	27	5	0	3	12	13	9	24	2	1	0	.238	.302	.362	.664	.292	85	-0.6	0.1	-2.7	-2.1	-0.1	999.0	3.08	0.49	2.82
583	Curtis Mead	CHW	28	102	93	22	5	0	2	11	10	7	22	2	2	0	.240	.306	.356	.662	.293	86	0.0	-2.4	-1.7	-2.5	-0.1	999.0	3.21	-0.07	2.68
584	Jhostynxon Garcia	PIT	69	237	216	50	10	1	6	27	25	16	71	2	4	1	.230	.289	.377	.666	.291	83	-0.1	-1.0	-5.0	-3.6	-0.1	999.0	3.82	0.30	3.50
585	Braden Montgomery	CHW	32	128	116	26	6	1	3	13	12	9	37	1	2	1	.224	.289	.356	.645	.283	79	-0.1	-0.6	-3.2	-1.8	-0.1	999.0	1.52	0.26	2.86
586	Mark Canha	TEX	26	99	86	20	4	0	2	10	9	9	20	3	1	0	.227	.314	.335	.649	.291	86	-0.2	-0.7	-1.8	-2.3	-0.1	999.0	2.52	-0.04	2.70
587	Luis Matos	SFG	47	178	164	40	8	0	5	20	20	10	26	2	3	1	.243	.291	.393	.684	.297	89	0.0	-2.2	-2.4	-4.4	-0.1	999.0	3.76	-0.92	3.10
588	Tyler Wade	TEX	20	61	55	12	2	0	0	6	4	5	15	0	2	1	.212	.283	.264	.547	.250	58	0.1	-0.3	-3.0	0.1	-0.1	999.0	1.73	0.34	2.47
589	Lenyn Sosa	CHW	99	399	376	93	17	1	13	40	47	16	89	3	2	1	.247	.282	.400	.682	.294	87	-0.5	-1.2	-6.8	-7.5	-0.1	487.1	1.39	-0.18	4.11
590	Sebastián Rivero	LAA	8	22	21	4	1	0	0	2	2	1	5	0	0	0	.203	.240	.272	.511	.227	40	0.0	-0.6	-1.6	0.0	-0.1	999.0	2.01	0.29	2.33
591	Billy Cook	PIT	17	56	51	11	2	0	1	6	5	4	15	1	1	0	.217	.275	.341	.616	.270	69	0.0	-0.2	-2.0	-0.7	-0.1	999.0	1.59	-1.61	2.49
592	Eric Wagaman	MIN	31	120	111	27	6	0	3	13	13	8	24	1	1	0	.245	.293	.385	.678	.295	87	-0.2	-1.0	-2.0	-3.0	-0.1	748.2	2.19	-1.38	2.78
593	Matt Mervis	WSN	11	39	36	7	1	0	1	4	5	3	12	0	0	0	.205	.268	.350	.618	.271	71	-0.1	0.1	-1.4	-0.8	-0.1	999.0	1.94	0.19	2.46
594	Bryan De La Cruz	PHI	12	43	40	9	2	0	1	4	5	3	13	0	0	0	.231	.278	.351	.629	.275	73	-0.1	-0.3	-1.5	-0.8	-0.1	999.0	4.24	-2.42	2.42
595	Paul DeJong	NYY	17	67	62	13	2	0	3	7	8	4	21	1	1	0	.208	.263	.380	.643	.280	77	-0.1	-1.7	-1.9	-1.2	-0.1	999.0	3.63	-0.12	2.63
596	Dominic Smith	ATL	61	230	207	50	10	0	5	25	25	18	47	3	2	0	.240	.306	.365	.671	.295	87	-0.6	1.8	-4.0	-4.5	-0.1	999.0	2.81	-1.25	3.40
597	Michael Toglia	CIN	20	66	60	12	2	0	3	7	8	6	23	0	1	0	.205	.279	.380	.659	.286	77	-0.1	-0.1	-1.9	-1.3	-0.1	999.0	3.06	-3.84	2.63
598	Leo De Vries	ATH	8	31	28	7	2	0	1	4	4	3	7	0	0	0	.233	.301	.409	.711	.308	96	0.0	-2.2	-0.2	-1.9	-0.1	999.0	2.75	-0.08	2.37
599	Cameron Cauley	TEX	5	21	20	4	1	0	0	2	2	1	6	0	1	0	.216	.267	.321	.588	.260	65	0.0	-1.3	-0.8	-1.0	-0.1	999.0	1.95	-1.23	2.29
600	Matt Thaiss	BOS	8	26	22	5	1	0	0	3	3	3	6	0	0	0	.218	.319	.293	.612	.281	74	-0.1	-1.9	-0.8	-1.2	-0.1	999.0	3.14	-1.73	2.35
601	Justin Foscue	TEX	12	43	39	8	2	0	1	5	5	3	9	0	0	0	.218	.286	.342	.628	.278	78	0.0	-0.6	-1.2	-1.5	-0.1	999.0	2.20	0.43	2.47
602	Charlie Condon	COL	43	172	154	37	7	1	5	19	20	13	49	3	1	0	.239	.310	.399	.709	.310	84	-0.2	0.5	-3.4	-3.5	-0.1	999.0	3.15	0.43	3.13
603	MJ Melendez	NYM	28	103	93	19	5	0	3	11	11	9	30	1	2	0	.205	.276	.366	.642	.281	78	-0.1	-0.6	-2.8	-1.9	-0.1	999.0	3.09	0.29	2.85
604	Rafael Flores Jr.	PIT	19	66	61	14	3	0	2	7	7	5	19	0	0	0	.234	.294	.364	.657	.289	82	-0.1	-2.1	-1.5	-1.9	-0.1	999.0	2.50	0.14	2.54
605	Jarred Kelenic	CHW	28	98	90	19	4	0	3	10	9	8	29	0	2	1	.215	.278	.351	.630	.276	75	0.0	-0.1	-2.9	-1.7	-0.1	999.0	2.91	-1.08	2.76
606	Adam Frazier	LAA	79	299	272	62	11	1	5	30	26	20	55	4	5	2	.229	.289	.329	.617	.273	72	-0.3	-0.9	-10.3	-1.4	-0.1	999.0	3.03	-0.60	3.63
607	T.J. Rumfield	COL	66	267	240	60	13	1	6	30	29	21	55	3	2	1	.250	.318	.383	.700	.307	83	-0.4	0.8	-5.9	-4.5	-0.2	999.0	2.60	-2.88	3.50
608	Tyler Black	MIL	11	37	33	7	1	0	0	4	3	4	9	0	2	0	.216	.312	.293	.605	.277	76	0.0	-0.9	-1.0	-1.8	-0.2	999.0	2.49	0.04	2.37
609	Griffin Conine	MIA	84	344	308	67	13	1	10	37	40	31	109	3	1	1	.217	.293	.367	.660	.291	83	-0.7	0.1	-7.4	-5.6	-0.2	999.0	2.92	-0.96	4.30
610	Rowdy Tellez	ATL	32	121	110	25	4	0	5	13	16	10	30	0	0	0	.223	.286	.391	.677	.294	87	-0.3	0.0	-2.2	-3.4	-0.2	999.0	7.17	-0.06	2.96
611	Kris Bryant	COL	19	75	67	16	3	0	2	8	8	6	19	1	0	0	.238	.314	.366	.680	.302	79	-0.1	0.0	-2.1	-2.1	-0.2	999.0	2.44	0.62	2.59
612	Jerar Encarnacion	SFG	36	136	125	28	5	0	4	15	16	9	42	1	1	0	.224	.280	.372	.652	.285	80	-0.2	0.6	-3.4	-2.9	-0.2	999.0	2.58	-1.27	3.02
613	Nick Castellanos	SDP	83	336	311	77	15	1	11	39	41	19	78	3	3	1	.249	.296	.406	.703	.304	94	-0.7	-2.9	-3.3	-9.7	-0.2	631.0	1.85	0.30	3.95
614	Grant McCray	SFG	20	62	57	12	2	0	1	7	6	5	20	0	2	0	.210	.269	.325	.594	.263	65	0.1	-1.0	-2.5	-1.3	-0.2	999.0	2.08	0.24	2.56
615	Matthew Lugo	LAA	19	66	62	14	3	0	2	7	7	3	20	0	1	0	.220	.265	.362	.627	.273	72	0.0	-0.8	-2.2	-1.7	-0.2	999.0	2.01	0.47	2.57
616	Matt Koperniak	STL	10	34	31	7	1	0	0	4	4	2	7	0	0	0	.230	.283	.302	.585	.261	64	0.0	-1.0	-1.5	-1.4	-0.2	999.0	2.39	0.15	2.38
617	Justyn-Henry Malloy	TBR	34	123	105	25	5	0	3	14	14	15	34	2	1	0	.236	.334	.368	.702	.313	100	-0.2	-3.5	-0.2	-5.7	-0.2	999.0	2.69	-0.49	2.88
618	Michael Conforto	CHC	43	166	145	32	6	0	5	19	18	17	41	2	0	0	.220	.309	.366	.675	.299	90	-0.3	-3.2	-2.2	-5.2	-0.2	999.0	4.60	-1.02	3.24
619	Blaine Crim	COL	40	155	139	34	7	0	5	18	19	13	37	1	1	0	.247	.312	.402	.714	.310	85	-0.3	-0.6	-3.1	-3.9	-0.2	999.0	2.81	-0.26	3.02
620	Ryan Vilade	TBR	44	150	135	31	6	1	3	16	15	12	38	1	2	1	.227	.293	.357	.650	.286	81	-0.1	-1.6	-3.4	-3.5	-0.2	999.0	1.96	-1.10	2.99
621	Bryce Eldridge	SFG	81	327	292	68	14	0	12	34	41	29	99	2	2	1	.231	.301	.403	.704	.304	93	-0.4	-1.6	-3.0	-9.9	-0.2	999.0	3.42	-0.33	4.03
622	Troy Johnston	COL	59	221	201	50	10	1	5	25	24	15	47	4	6	2	.250	.310	.393	.703	.307	82	0.1	-0.4	-4.6	-4.7	-0.2	748.4	2.56	1.48	3.16
623	Pedro León	PHI	8	30	27	6	1	0	1	3	3	2	9	0	1	0	.209	.272	.367	.639	.280	76	0.0	-1.9	-0.9	-2.1	-0.2	999.0	2.25	-0.29	2.35
624	Jeimer Candelario	LAA	34	135	122	25	6	0	4	13	14	10	39	2	1	0	.204	.270	.343	.613	.270	69	-0.2	-0.6	-5.1	-1.6	-0.2	999.0	2.62	-0.65	3.04
625	Bryce Johnson	SDP	52	157	139	31	6	1	2	17	12	12	42	2	5	1	.222	.292	.313	.605	.271	71	0.2	-1.2	-5.2	-2.3	-0.2	999.0	2.31	0.01	2.89
626	Zac Veen	COL	32	119	108	26	5	1	3	13	12	9	30	1	4	1	.236	.296	.378	.674	.294	73	0.1	-1.0	-3.6	-2.5	-0.2	743.7	1.57	-0.04	2.75
627	Orelvis Martinez		18	70	64	13	3	0	2	7	8	5	20	1	0	0	.200	.270	.353	.623	.273	73	-0.1	-2.6	-2.3	-2.3	-0.2	999.0	3.71	-0.22	2.67
628	Christian Encarnacion-Strand	CIN	26	90	84	20	3	0	3	11	12	5	24	1	0	0	.237	.282	.375	.657	.286	77	-0.1	0.0	-2.6	-2.8	-0.2	999.0	4.77	-0.12	2.76
629	John Rave	KCR	30	104	93	20	4	1	2	12	9	9	27	0	3	1	.218	.287	.352	.639	.281	77	0.1	-2.1	-2.7	-3.5	-0.3	999.0	2.00	-0.33	2.75
630	Brice Matthews	HOU	16	61	54	11	2	0	2	7	6	5	21	1	2	1	.213	.292	.357	.648	.287	83	0.1	-4.2	-1.1	-4.2	-0.3	741.0	2.67	0.44	2.53
631	Deyvison De Los Santos	MIA	21	82	77	18	3	0	3	8	9	4	21	1	1	0	.233	.278	.377	.655	.283	78	0.0	-2.3	-2.2	-4.1	-0.4	999.0	3.11	0.41	2.64
