,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,SVHLD_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,
43,Justin Sterner,3.125,0.3535533905932738,65.625,2.77424378370549,18.25,0.7071067811865475,1.26625,0.024458419526091377,4.22125,0.2197685470801365,30.25,2.4348657927227584,23.875,0.8345229603962795,57.875,2.900123150094541,-5.303300858899106,-1.5770063271643773,0.2555357263920021,1.490204145912567,8.388054191825429,33.314223900759096
44,Phil Maton,3.625,0.744023809142845,69.625,6.2091522310675735,18.625,1.060660171779821,1.205,0.042088342464732156,3.65125,0.1540350145722903,26.0,1.7728105208558365,24.625,1.3024701806293197,52.5,4.0708019567928595,-1.8480591388386791,-0.0603947183197865,-1.3067751491065984,-1.5743173763014242,5.945589518476894,30.700586260634026
45,Caleb Thielbar,3.875,1.1259916264596033,63.75,7.53562965423025,16.25,0.7071067811865475,1.1949999999999998,0.02329929490042871,3.69125,0.10986192633093082,25.625,3.1139088893910456,20.5,3.207134902949092,53.75,5.922113522335464,-0.9991193305204932,-0.8293932009372913,-2.7897839946566005,-1.8432227320502323,5.559627067079238,30.602629530645242
46,Yimi García,2.875,0.6408699444616557,61.375,8.382592507265107,15.25,0.4629100498862759,1.18875,0.045178218519231525,3.7962499999999997,0.23138943672642334,23.75,2.6592157812837542,20.0,2.9760952365713798,47.125,5.617256574927963,-3.3158053648233494,-1.0289179621369882,-1.5770874181254013,-0.42136754978697005,6.332223724069357,29.314850261298822
47,Alex Vesia,4.125,0.6408699444616557,77.375,1.3024701806293193,20.0,2.0701966780270635,1.155,0.04375255094603866,3.50625,0.09694438759265175,24.125,0.8345229603962799,24.75,0.8864052604279191,46.375,1.5059406173077154,-1.3653316208096145,5.662317732630619,-2.39986007054765,-3.9971370145554634,3.710396254388922,29.24596446886873
48,Tanner Scott,4.125,0.6408699444616559,71.5,1.8516401995451044,19.75,1.3887301496588271,1.2225,0.043670846764665046,3.54125,0.20483006894217723,25.25,1.9086270308410553,25.375,1.9226098333849662,52.625,2.774243783705494,-1.365331620809614,0.8100925873009819,-0.858696425147911,-1.7209387362922262,5.351111590560383,28.77995408073342
49,Robert Suarez,4.375,1.0606601717798212,67.625,6.069537520625906,19.75,1.3887301496588271,1.1975,0.03240370349203933,3.69375,0.26959957079236707,27.0,2.9760952365713798,20.75,1.7525491637693278,57.875,4.580626906564521,-0.5892556509887896,-0.39129834718528667,-1.928791874526147,-0.741840943634255,5.351111590560383,28.44563677278824
50,Keegan Akin,3.5,0.5345224838248489,65.625,2.326094212561968,17.5,0.7559289460184548,1.26,0.026726124191242498,4.0225,0.1067373277858182,29.625,1.0606601717798214,22.75,1.8322507626258087,60.0,1.4142135623730954,-2.806243040080455,-1.8808352543817908,0.0,1.2062321839118282,6.854149490226709,28.37743697275947
51,Zach Eflin,9.0,0.0,115.75,2.5,1.0,0.0,1.2525,0.00957427107756339,4.385,0.10344080432788606,73.75,1.707825127659934,29.75,2.217355782608345,159.5,1.9148542155126762,9.0,18.3,-0.783349451800646,4.749093002436819,1.0,28.334256449363824
52,Sam Hentges,2.5,0.7559289460184544,50.75,4.367084676466507,7.0,0.0,1.2575,0.055997448921484776,3.5425,0.4137891112286891,20.25,2.434865792722758,17.375,1.505940617307715,47.375,3.248626083219093,-3.3071891388307386,-4.40797498242593,-0.044644890939679244,-0.8488623563752364,7.0,28.178343126058245
53,Michael McGreevy,8.5,0.5773502691896257,100.75,1.707825127659934,1.0,0.0,1.28,0.038297084310253554,4.0975,0.2344319375284294,66.0,5.099019513592786,34.0,1.4142135623730947,151.75,8.693867570496652,6.062177826491071,18.005356345900427,0.5222329678670936,0.8691221944761333,1.0,27.67617901004827
54,Jeremiah Estrada,4.25,0.8864052604279182,94.5,2.390457218668787,19.75,3.453776401067596,1.14625,0.026692695630078197,3.27375,0.23856340876169577,25.25,1.9820624179302293,28.125,0.8345229603962802,51.375,2.2638462845343548,-0.8461141122266495,10.249085325042426,-4.261465442696721,-2.59888975940701,2.1516303133297607,27.02147798156831
55,Fernando Cruz,3.625,0.744023809142845,79.5,5.237229365663817,17.375,1.0606601717798212,1.23625,0.04405759217855,3.5525,0.3109777208372696,23.625,2.774243783705494,27.625,1.7677669529663687,45.375,3.3354160160315836,-1.8480591388386791,1.813936212586687,-0.5390671352113275,-1.0973454917645726,4.767078216499313,25.437680783220472
56,Matt Strahm,3.75,0.7071067811865476,69.75,3.240370349203931,18.75,1.3887301496588271,1.14,0.039999999999999966,3.61625,0.31011230684566965,25.875,2.6958963523950885,19.375,1.5979898086569353,54.625,3.5431019500674017,-1.7677669529663687,-0.07715167498104593,-3.0000000000000053,-0.8948371086030468,4.631029290737287,25.205064934342072
57,José Fermin,3.2,0.8366600265340756,56.0,3.24037034920393,7.0,0.0,1.342,0.03768288736283352,4.282,0.20241047403728904,25.2,1.7888543819998322,24.8,1.30384048104053,46.0,2.9154759474226504,-2.1514114968019085,-4.320493798938573,2.176054058980532,1.9181319635093335,7.0,24.43390868176966
58,Landen Roupp,7.75,0.5,120.75,2.9860788111948193,1.0,0.0,1.3450000000000002,0.02645751311064589,3.9675000000000002,0.13326039671760428,56.5,3.415650255319866,50.5,2.6457513110645903,122.5,5.0,5.5,16.995532673062105,3.2126980205784403,0.5534277385972822,1.0,23.729406913886383
59,Garrett Whitlock,4.5,1.1952286093343936,76.125,3.9798600118956076,18.0,2.0701966780270635,1.14125,0.03440826312716999,3.3325,0.11196300409382694,25.25,1.0350983390135315,18.875,2.100170061141308,59.0,2.9277002188455996,-0.4183300132670378,1.538998854656363,-3.4512058792712113,-5.012816550810503,2.7443044713096265,23.30621362801917
60,Chris Martin,3.25,1.0350983390135313,50.375,5.0691644845505435,15.5,0.7559289460184551,1.13875,0.02295181287579944,3.47625,0.1670703444660363,20.25,2.375469878330841,10.875,2.100170061141308,48.625,4.138236339311714,-1.6906606203887677,-3.871446677221019,-5.282807099209448,-2.4989473825193045,4.208398179162119,23.261638079929554
61,Garrett Cleavinger,4.125,1.1259916264596033,78.875,4.0155946010522525,21.625,2.6152028055746874,1.17,0.05707138387268048,3.44875,0.2862285550295177,24.625,2.3260942125619684,24.375,2.4458419526091326,50.875,3.5632048174962625,-0.7770928126270502,2.210133462594651,-1.5769724491135426,-1.5547016263073703,3.55851943113642,22.357311881070615
62,Eduardo Rodriguez,8.25,0.5,124.5,3.109126351029606,1.0,0.0,1.3575,0.017078251276599253,4.315,0.2395133955891957,67.25,4.031128874149274,49.75,1.5,141.0,0.8164965809277289,6.5,17.52903994459794,5.70901542674894,1.758774280510442,1.0,21.56125023733856
