,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,IP,IP,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,
21,Sonny Gray,11.75,0.7071067811865476,178.375,10.377688980280173,1.20125,0.02100170061141313,3.76125,0.0947835880911275,71.625,3.62284418654736,45.875,2.64237447329913,160.375,10.041876603219428,171.6375,9.021868273415274,6.717514421272201,7.7377535742868355,-3.749696343981036,-4.07441317402659,22.279377513566665
22,Kevin Gausman,11.5,0.5345224838248487,173.75,7.459413994601531,1.22875,0.020310096011589906,3.9899999999999998,0.2168607189616673,79.25,5.994044663544924,53.0,3.6645015252516173,166.75,7.440238091428447,178.5625,7.134611311867565,8.41872912024137,10.144898788935288,-2.5233755650763214,-0.7259844048927497,21.81298787914573
23,Nick Pivetta,10.625,0.9161253813129042,184.25,8.224527776283399,1.15875,0.025319388392523033,3.9125,0.10713809513227052,74.375,3.543101950067404,51.5,3.1622776601683786,147.0,7.445036697597359,171.0375,6.21770226277935,3.9568819660961614,10.477805211929363,-4.788820255856019,-2.1928474620530682,21.41635489593461
24,Nolan McLean,10.25,0.4629100498862759,143.75,4.131758532565597,1.275,0.02563479777846637,3.8137499999999998,0.10769500585316981,62.625,1.505940617307715,56.625,3.3779748793788107,132.375,3.925648263117106,148.0,3.741657386773944,7.02080242327518,11.054615036188554,-0.19504737440137693,-3.098449156081999,21.36891398994711
25,Cole Ragans,10.5,1.3093073414159542,190.5,19.227955838161417,1.1475,0.03284161123592183,3.4025,0.07796519369931304,58.125,5.817154434453817,53.875,6.978282637685906,122.875,15.347754605432398,153.7875,17.350458001365354,2.673169155390907,4.806803218081331,-4.0345158173930535,-9.554744427019406,21.069232617884698
26,Pablo López,10.375,1.0606601717798214,158.75,11.080871549012482,1.19625,0.009161253813129036,3.81125,0.12322308457196071,68.0,4.750939756661683,41.625,3.0207614933986435,150.25,10.687108388815268,160.1,10.898623766329404,3.1819805153394634,5.4756523195512825,-9.141761783739414,-2.7282834313701234,20.527678050000283
27,Brandon Pfaadt,9.75,0.4629100498862759,143.75,3.2841611235921824,1.25625,0.02669269563007826,4.36125,0.24764245539544652,79.875,6.379375249303689,38.375,2.5035688811888397,169.0,6.54653670707977,164.7625,4.111981621693231,5.940678973540536,13.907661129013414,-0.8897565210026076,0.8633919400394212,19.874704683517137
28,Jack Flaherty,10.375,0.5175491695067657,172.375,7.130167299179293,1.24625,0.028753881725529094,4.02,0.11964232409262898,70.0,2.2038926600773583,54.625,4.033343171967535,141.375,7.190022849159006,157.05,7.561367979029042,6.521119535785248,10.420512855084368,-1.1737545671976197,-1.0651539993600923,19.180540957427326
29,Luis Castillo,10.875,0.6408699444616557,161.625,7.89099848833195,1.20875,0.018850918886280987,3.94875,0.2598591651535227,76.875,5.514591035218682,50.25,2.121320343559642,161.375,6.802048010919735,174.8125,6.084743802565329,6.046468606442579,8.05348018935353,-3.7796566008171193,-0.7645968533863976,18.644202249999626
30,Ranger Suárez,11.5,0.7559289460184546,145.625,5.974648824109128,1.2525,0.02659215781283756,3.695,0.18593393604027345,68.125,5.055054048036619,47.25,2.1213203435596424,160.0,7.40656079818041,165.4,5.101260348468518,5.952940449895327,7.9586267577977905,-1.0341394704992406,-2.4333239516964857,17.379030629888845
31,Tanner Bibee,10.625,0.7440238091428449,164.375,7.46300399111702,1.2275,0.03284161123592185,3.9475,0.2023963579570685,78.0,5.154748157905343,53.0,2.6726124191242424,165.0,7.727501906456298,177.4125,5.695471258565255,4.872155911483791,8.883822128316536,-1.598581738967057,-0.9878512736993509,16.342411052466737
32,Shohei Ohtani,7.875,1.5526475085202969,130.625,13.958484363077742,1.125,0.017728105208558276,3.41125,0.1710002088553443,41.0,4.4077853201547175,37.25,4.166190448976482,84.5,11.288426437221949,108.275,11.96563531833678,0.5635535401295894,2.3319150670899185,-8.743179159675423,-4.305184800228924,15.943832567123854
33,Nick Lodolo,8.875,0.6408699444616557,151.625,6.823017765517796,1.19875,0.01726888200533805,4.1675,0.2711220073272232,68.625,4.50198368975912,40.25,2.3754698783308412,137.25,6.819090848492923,147.61249999999998,5.603171933314716,2.9257106160206026,7.848433323833816,-4.704994797861526,0.0739980505373984,15.405140687178548
34,Andrew Abbott,9.25,0.4629100498862759,149.125,4.998213966722803,1.26375,0.028753881725529045,4.2625,0.33122068603446714,77.875,6.512350903146597,50.5,2.878491668515698,157.625,5.208166663999917,164.225,2.8674279166428716,4.8605555238058935,10.213648383178791,-0.5651410879099703,0.34738923277281963,15.291955762121836
35,Matthew Boyd,10.5,0.5345224838248487,144.625,10.041876603219425,1.21,0.028284271247461926,3.9562500000000003,0.15482132558902498,70.625,5.475595205741826,45.875,4.642582409453969,148.75,10.964227547542315,160.4375,10.002419350194378,6.547900426854398,4.635587733180876,-2.4748737341529163,-1.2348912481702221,14.893253142358413
36,Michael King,10.375,1.060660171779821,161.875,15.179285697479779,1.23875,0.009910312089651185,3.75125,0.17175044187924024,65.0,7.837638128197259,56.125,4.733995594179856,137.0,14.392458342578486,155.65,15.231827580056557,3.1819805153394647,4.2030963295323405,-4.162331077653468,-2.3067626241017973,13.85417054662707
37,Shota Imanaga,9.125,0.8345229603962804,134.5,5.154748157905345,1.15625,0.03248626083219083,4.0925,0.1274754878398196,67.5,4.629100498862755,33.125,1.6420805617960927,137.875,7.586407017064892,147.85,6.140730528900565,2.5463649304399314,7.066300599795252,-3.809302666109711,-0.4309652069661549,13.85293340331105
38,Blake Snell,10.375,1.407885953173359,166.75,17.018897060116945,1.225,0.017728105208558362,3.55,0.1394888628426759,53.625,5.343554194407636,58.875,6.642665127793212,108.0,12.059376908803017,136.1375,14.267138816174743,2.3972112175654487,4.035220364599121,-3.102418411497711,-4.283048035697492,13.817898029359773
39,Spencer Strider,11.0,1.1952286093343938,177.875,10.260012531320667,1.22125,0.031819805153394665,3.965,0.2154065922853802,67.5,4.44007721940573,53.75,3.9910614413425676,133.0,7.111359122659223,153.0875,7.5258483147843815,3.346640106136302,7.777768278196066,-1.8463343730982085,-0.8469448314668965,13.817687588897472
40,Edward Cabrera,8.75,0.7071067811865477,144.625,5.853875395228117,1.23625,0.03662064211031025,3.8775,0.12914554358773458,58.375,2.065879266282796,53.75,3.3700360320244145,113.875,6.468329437674437,135.275,3.910334293345555,2.474873734152916,7.951997071537602,-1.19468140040293,-2.0901805242440954,13.711732730337543
41,Hunter Greene,10.375,1.1877349391654208,204.125,21.662591191795524,1.10375,0.047490600573767604,3.64875,0.2257962102680834,68.75,7.741354624907158,54.5,6.948792289723033,133.5,15.999999999999996,169.35,15.278275893755627,2.8415430823071457,4.895536229302306,-3.7112607099215182,-2.2085733830869776,13.65691340461795
42,Merrill Kelly,10.375,0.5175491695067657,149.75,8.031189202104509,1.27,0.03380617018914069,4.10125,0.2746133645691702,77.5,7.946247991527643,51.5,3.464101615137754,164.375,9.500939803138278,169.55,7.2354287068167995,6.521119535785248,6.434289953779073,-0.2958039891549808,-0.16819101310841547,13.419404491827718
43,Carlos Rodón,10.375,0.7440238091428449,154.75,13.456278407175905,1.23625,0.015059406173077184,4.046250000000001,0.07998883850709658,66.5,4.140393356054125,54.375,4.373213921133974,128.375,10.50085030570654,147.73749999999998,10.48821617680665,4.536145158967668,4.211788600463009,-2.905161033388891,-1.2650202439309302,12.918115036750498
44,Brady Singer,10.25,0.8864052604279183,156.75,5.092010548749032,1.3062500000000001,0.02973093626895346,4.49875,0.23654884726596548,83.875,4.3895167322675945,55.125,2.2320714274285334,164.75,7.667184247539267,168.1,4.667210852624636,3.6664944863154805,11.52295334785095,0.882918713441651,1.4851583681783904,12.821370752546388
45,Aaron Nola,10.5,1.1952286093343936,164.125,14.701190427989157,1.21625,0.011877349391654378,4.19875,0.16225531028069842,78.5,5.8309518948453,45.0,4.928053803045811,159.625,14.141504264297447,168.0875,14.597694289559179,2.9283100928692645,4.492833442538734,-5.367359155468974,0.31624542772271164,12.47225726315426
46,Gavin Williams,9.625,0.5175491695067657,167.625,9.840695387739919,1.3050000000000002,0.03162277660168378,3.91,0.23384976862446163,71.5,6.524678426668134,70.25,4.8916839052182635,144.5,10.993504575754852,164.3125,8.986249416270875,5.071981861166304,7.067589967945684,0.7905694150420994,-1.0153420351734426,12.364344449243331
47,Zac Gallen,12.125,1.3562026818605373,163.125,8.741322227541684,1.27125,0.04257346591481601,4.08125,0.18003471887388836,78.875,5.436319658424386,57.625,2.615202805574687,163.75,15.618212811604646,174.0625,10.575164639042608,3.7789336863492653,7.4416659524395525,-0.205527076830147,-0.3676374224594046,11.79376413807837
48,Mitch Keller,9.625,0.744023809142845,150.5,5.477225575051663,1.30375,0.027742437837054913,4.32125,0.28762264464795856,83.5,7.050835816716035,52.625,2.3260942125619675,173.875,8.356990230596525,173.475,5.719078347326354,3.5281129014192967,9.571451692402777,0.8560891490320879,0.6043074258382598,11.639168018951727
49,Nathan Eovaldi,9.875,1.642080561796093,150.0,23.58570995933161,1.1624999999999999,0.03058944729337697,3.765,0.1090216230190796,65.875,9.264949309860562,41.25,6.519202405202647,142.375,23.10805363627891,157.525,23.252142758402776,1.7508276188686813,2.2015449223081816,-3.841193954015655,-3.5079050321335807,11.301471527326099
50,Jack Leiter,9.375,0.517549169506766,146.0,6.414269805898183,1.29125,0.04189698250300545,4.2775,0.20197241678718705,72.5,4.72077475481666,61.875,2.5877458475338293,135.0,6.8033605141660844,152.275,4.411591873365306,4.588935969626653,7.471622094214219,0.26851575764896607,0.6439616957054268,11.14808061048648
51,Jacob Misiorowski,9.0,0.5345224838248488,161.0,10.90216230190795,1.26875,0.04051013982414073,3.8850000000000002,0.21226667863125123,59.25,4.978525312350463,64.0,7.171371656006364,109.5,9.501879513323361,136.7875,9.153365891455287,3.7416573867739413,5.771790793188588,-0.27770824906646957,-1.2363574994071713,11.02751392843617
