#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
52	Kyle Schwarber	PHI	150	657	549	126	20	1	42	98	104	97	185	7	6	2	.230	.351	.497	.848	.363	133	-1.9	-1.3	23.5	-17.3	2.9	25.0	1.91	-0.14	2.37
53	Brendan Donovan	SEA	128	548	487	130	26	1	12	62	56	47	76	9	5	2	.267	.340	.400	.740	.325	115	-1.0	-0.7	8.4	0.6	2.9	310.5	4.06	0.86	4.03
54	Matt Olson	ATL	153	666	576	143	30	1	29	88	92	79	160	5	1	0	.247	.342	.456	.798	.344	121	-1.8	2.8	14.8	-9.0	2.9	50.3	2.72	0.36	3.34
55	Pete Alonso	BAL	153	655	576	145	27	1	36	85	103	60	150	13	2	1	.252	.333	.491	.824	.351	128	-2.1	-1.7	19.4	-14.1	2.8	26.4	2.58	0.61	3.04
56	Manny Machado	SDP	146	623	566	148	27	0	26	78	87	51	121	2	9	3	.262	.323	.450	.773	.332	113	-0.7	-1.5	8.5	-1.8	2.8	39.4	2.55	-0.45	4.27
57	Brice Turang	MIL	150	636	569	146	25	3	15	80	67	58	133	2	30	6	.257	.326	.391	.717	.314	102	2.3	0.6	3.5	3.1	2.8	54.0	1.58	-0.84	3.63
58	Andy Pages	LAD	142	582	532	136	28	2	23	74	77	36	129	8	10	4	.256	.310	.443	.753	.324	107	0.0	1.1	5.0	2.9	2.8	142.0	2.28	2.63	4.63
59	Gleyber Torres	DET	149	639	557	143	26	1	17	79	69	71	110	4	6	2	.257	.343	.400	.743	.327	110	-1.7	-2.5	5.6	-0.2	2.8	251.6	2.69	0.83	4.31
60	Masyn Winn	STL	144	611	558	140	28	2	13	72	60	41	111	5	14	4	.250	.305	.379	.684	.299	90	0.8	5.9	-6.2	12.6	2.8	281.7	3.08	-0.38	4.36
61	Brent Rooker	ATH	150	641	569	150	31	2	33	87	96	61	163	6	6	2	.264	.339	.497	.837	.357	130	-0.9	-1.6	22.0	-16.7	2.8	53.6	1.65	0.60	3.69
62	Carlos Correa	HOU	130	550	494	130	24	1	16	65	64	49	109	3	0	0	.263	.332	.413	.744	.324	109	-0.9	1.2	4.6	3.3	2.8	278.5	1.84	-0.29	4.11
63	Nico Hoerner	CHC	146	605	553	154	27	3	7	74	55	38	57	9	26	6	.278	.332	.372	.705	.310	98	2.1	3.4	0.6	5.8	2.7	109.7	2.67	-0.05	2.98
64	Jackson Chourio	MIL	145	629	580	156	34	4	23	86	84	39	127	4	24	7	.269	.317	.459	.776	.332	114	2.0	-0.5	12.2	-7.0	2.7	20.6	1.62	0.93	4.52
65	Xander Bogaerts	SDP	137	567	511	135	25	1	13	66	59	46	99	4	16	4	.264	.327	.393	.719	.314	101	1.0	-1.1	1.4	5.3	2.6	241.6	3.14	0.46	4.05
66	Luke Keaschall	MIN	126	534	469	125	27	2	11	69	55	49	92	11	24	6	.267	.346	.401	.748	.329	110	0.9	-1.3	7.4	0.1	2.6	136.0	2.25	-0.56	3.55
67	CJ Abrams	WSN	140	610	553	137	29	4	18	80	64	39	118	13	30	7	.248	.310	.410	.720	.312	100	2.7	-3.4	2.5	2.6	2.6	56.2	2.10	0.01	3.57
68	Michael Harris II	ATL	138	567	532	141	27	3	20	68	70	25	110	4	18	5	.265	.301	.437	.738	.316	102	1.3	1.8	2.4	4.0	2.6	101.1	3.00	0.90	4.43
69	J.T. Realmuto	PHI	120	469	428	108	21	2	14	55	53	31	113	7	7	2	.252	.311	.407	.719	.312	98	-0.4	1.9	-1.6	10.8	2.5	217.0	2.19	-0.20	4.42
70	Michael Busch	CHC	140	584	513	128	25	3	29	77	79	59	146	8	3	1	.249	.334	.476	.809	.348	124	-1.2	0.3	15.1	-10.6	2.5	108.5	1.63	-0.12	3.90
71	Drake Baldwin	ATL	131	517	464	120	21	1	20	61	74	46	91	4	1	0	.259	.330	.437	.768	.333	114	-1.0	-2.3	7.2	-0.4	2.5	91.8	2.91	0.22	4.07
72	J.P. Crawford	SEA	144	597	517	125	24	1	11	65	55	68	116	5	6	1	.241	.333	.355	.687	.307	103	-0.8	-4.5	1.2	2.2	2.5	735.5	3.06	-0.69	4.63
73	Oneil Cruz	PIT	127	528	466	110	22	3	21	69	64	55	158	4	28	6	.237	.320	.433	.753	.324	106	2.5	-1.7	6.2	0.1	2.4	89.2	2.86	-1.12	3.60
74	Seiya Suzuki	CHC	141	605	532	135	26	3	26	76	85	65	152	3	8	3	.255	.336	.461	.798	.343	121	-1.0	-3.1	13.7	-10.4	2.4	97.9	1.89	0.54	4.20
75	Steven Kwan	CLE	147	646	577	157	27	3	9	81	54	58	59	4	18	5	.272	.340	.374	.714	.316	103	1.1	4.8	3.5	-2.0	2.4	171.1	2.77	0.51	3.40
76	Taylor Ward	BAL	149	628	552	134	26	2	27	79	83	65	153	6	5	2	.242	.325	.442	.768	.332	115	-1.4	-0.7	9.7	-7.6	2.4	160.8	1.77	0.95	3.78
77	James Wood	WSN	146	631	550	142	31	2	24	83	80	73	187	3	16	6	.258	.347	.452	.800	.345	122	0.4	-1.8	16.8	-14.2	2.4	31.0	2.27	0.19	4.69
78	Max Muncy	LAD	113	459	381	85	16	1	22	61	65	67	112	6	3	1	.222	.343	.441	.784	.340	119	-1.3	-2.2	8.8	-0.8	2.4	257.0	3.74	-0.89	4.12
79	Cody Bellinger	NYY	139	595	535	138	24	3	23	77	80	49	89	3	11	3	.257	.320	.440	.759	.326	109	0.2	2.3	6.2	-2.8	2.4	78.0	2.29	0.86	4.61
80	Jose Altuve	HOU	138	595	536	141	25	1	20	77	69	50	102	5	12	4	.263	.329	.425	.755	.328	111	-0.5	-3.5	7.1	-4.1	2.4	121.8	2.85	-0.40	4.60
81	Ezequiel Tovar	COL	148	630	585	153	34	4	20	79	71	31	157	4	9	3	.262	.301	.435	.736	.316	89	0.1	3.8	-8.5	10.7	2.4	209.4	3.57	-0.36	4.46
82	Yandy Díaz	TBR	142	615	548	158	27	1	19	73	74	57	91	6	2	1	.288	.359	.447	.806	.350	125	-1.7	-0.2	16.6	-14.4	2.4	133.5	2.97	0.06	3.33
83	Tyler Soderstrom	ATH	140	585	525	134	27	1	24	72	79	50	138	6	5	2	.255	.325	.451	.776	.334	114	-0.7	0.8	9.2	-6.0	2.4	90.1	2.30	-0.64	4.28
84	Marcus Semien	NYM	137	581	519	125	23	2	18	73	68	52	96	4	9	2	.240	.311	.397	.708	.309	97	0.1	3.4	-1.9	5.2	2.4	258.6	2.14	0.40	4.47
85	Kyle Stowers	MIA	139	576	507	123	24	3	25	69	83	57	163	7	5	1	.243	.326	.451	.777	.335	114	-0.4	1.3	8.8	-5.1	2.3	130.3	2.25	-1.25	3.97
86	Ian Happ	CHC	146	633	545	131	29	1	22	80	76	79	149	4	8	2	.240	.339	.416	.755	.331	112	-0.7	0.2	8.2	-6.7	2.3	189.2	1.40	1.43	4.09
87	Bryson Stott	PHI	141	574	514	131	23	3	13	68	60	50	95	3	24	5	.255	.322	.389	.711	.311	97	1.9	1.7	-0.2	4.0	2.3	185.1	2.19	0.66	3.83
