#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
48	Mitch Keller	PIT	30	30	176.1	9	11	13	0	0	175	85	22	155	53	1.29	7.90	2.68	4.32	4.09	2.3	2.0	518.6	2.14	0.18	3.33
49	Trevor Rogers	BAL	26	26	152.0	9	8	11	0	0	145	68	18	132	49	1.28	7.83	2.90	4.03	4.01	2.3	1.9	146.1	4.13	-1.23	4.05
50	David Peterson	NYM	28	28	160.2	9	7	13	0	0	155	71	16	143	62	1.35	8.04	3.45	3.95	3.91	2.3	2.3	452.0	3.78	0.08	3.44
51	Emmet Sheehan	LAD	23	33	133.2	9	6	8	0	0	111	58	19	152	43	1.15	10.21	2.89	3.91	3.79	2.3	2.0	111.2	2.18	0.07	4.08
52	Luis Castillo	SEA	28	28	172.1	11	10	14	0	0	157	75	24	160	48	1.19	8.37	2.51	3.90	4.04	2.3	1.9	171.1	2.27	-1.22	3.88
53	Yusei Kikuchi	LAA	29	29	168.0	8	10	12	0	0	161	79	26	170	60	1.32	9.13	3.23	4.24	4.26	2.2	1.8	506.6	4.02	0.09	3.26
54	Merrill Kelly	ARI	26	26	158.1	10	8	12	0	0	150	72	21	143	47	1.24	8.12	2.65	4.07	3.99	2.1	2.2	284.2	2.60	-0.37	3.86
55	Casey Mize	DET	26	26	145.2	9	9	10	0	0	144	67	20	127	39	1.26	7.85	2.42	4.12	4.05	2.1	1.7	289.6	2.82	-1.25	4.10
56	Shane McClanahan	TBR	19	19	109.1	7	5	9	0	0	95	45	14	116	33	1.18	9.57	2.72	3.67	3.61	2.1	1.9	183.0	5.23	1.41	4.42
57	Clay Holmes	NYM	27	29	150.1	11	9	9	0	0	145	65	14	125	57	1.34	7.45	3.38	3.86	3.97	2.1	2.3	330.6	3.44	-0.23	3.47
58	Cody Ponce	TOR	22	33	136.2	8	8	9	0	1	128	61	18	139	44	1.26	9.18	2.91	4.05	3.95	2.1	1.6	250.0	3.26	1.16	4.23
59	Michael Wacha	KCR	28	28	163.1	10	10	11	0	0	163	79	22	126	48	1.29	6.94	2.67	4.36	4.34	2.1	1.5	609.3	4.53	-0.72	3.46
60	Braxton Ashcraft	PIT	22	36	133.1	7	7	6	0	1	130	57	14	120	42	1.29	8.11	2.86	3.85	3.74	2.1	2.1	239.4	2.71	-0.41	4.41
61	Bubba Chandler	PIT	25	31	143.1	9	8	9	0	0	134	66	18	136	51	1.29	8.53	3.19	4.16	4.07	2.1	1.9	150.0	4.03	-0.35	3.96
62	Ryan Pepiot	TBR	30	30	167.0	11	10	12	0	0	143	75	25	171	58	1.21	9.21	3.13	4.03	4.23	2.0	2.3	129.1	3.62	-0.37	3.64
63	Robbie Ray	SFG	29	29	170.0	9	10	12	0	0	152	80	24	176	67	1.28	9.31	3.54	4.22	4.21	2.0	1.9	166.4	1.83	-0.71	3.30
64	Shane Baz	BAL	28	28	157.0	9	9	12	0	0	144	72	22	155	53	1.25	8.88	3.02	4.15	4.15	2.0	1.6	186.9	3.02	1.76	3.78
65	Zac Gallen	ARI	29	29	175.2	12	10	13	0	0	167	82	23	166	57	1.27	8.53	2.92	4.20	4.01	2.0	2.3	222.7	4.13	-0.22	3.14
66	Bailey Ober	MIN	27	27	158.0	8	9	11	0	0	153	77	27	143	37	1.21	8.16	2.14	4.41	4.38	2.0	1.4	494.3	2.11	0.41	3.61
67	Shota Imanaga	CHC	26	26	154.1	10	8	12	0	0	142	68	28	141	33	1.13	8.24	1.91	3.99	4.35	2.0	2.2	157.9	3.48	-0.79	3.81
68	Gavin Williams	CLE	28	28	163.0	10	9	11	0	0	143	72	21	166	70	1.31	9.17	3.86	3.97	4.13	1.9	2.2	144.7	2.37	-1.45	3.46
69	Edward Cabrera	CHC	24	24	135.1	9	7	9	0	0	116	60	16	144	53	1.25	9.61	3.54	3.98	3.92	1.9	1.9	174.7	2.05	1.14	4.18
70	Chris Bassitt	BAL	29	32	167.1	11	10	12	0	0	164	79	23	152	56	1.32	8.19	3.03	4.26	4.27	1.9	1.5	359.4	2.42	-0.92	3.20
71	Jack Leiter	TEX	29	29	163.1	10	10	10	0	0	145	78	24	157	65	1.28	8.66	3.56	4.29	4.43	1.9	1.4	230.7	2.86	-0.17	3.43
72	Reid Detmers	LAA	23	31	136.2	7	8	8	0	0	125	65	19	149	51	1.29	9.81	3.35	4.27	4.00	1.9	1.4	350.5	4.98	0.98	3.89
73	Cam Schlittler	NYY	24	24	131.2	8	8	9	0	0	117	57	16	131	50	1.27	8.97	3.42	3.91	4.04	1.8	2.0	116.6	3.61	-0.77	4.29
74	Joe Musgrove	SDP	21	21	120.2	7	7	9	0	0	113	53	16	115	31	1.20	8.57	2.31	3.96	3.96	1.8	1.7	385.6	2.25	0.15	4.56
75	Brayan Bello	BOS	27	27	156.0	10	9	11	0	0	154	73	18	128	54	1.33	7.38	3.12	4.23	4.21	1.8	1.9	421.4	3.06	0.41	3.46
76	Carlos Rodón	NYY	24	24	140.0	11	8	11	0	0	120	63	20	148	51	1.22	9.53	3.27	4.04	4.12	1.8	1.9	202.3	2.21	-0.81	3.90
