#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
259	Tanner Gordon	COL	15	24	86.0	4	7	5	0	1	101	53	17	62	21	1.42	6.47	2.19	5.54	5.09	0.5	0.3	999.0	4.47	0.58	3.84
260	Tyler Holton	DET	1	63	69.1	4	3	0	1	13	62	28	8	58	16	1.14	7.49	2.14	3.60	3.85	0.5	0.6	999.0	2.54	-1.35	3.75
261	Payton Tolle	BOS	5	26	50.1	3	3	2	0	1	46	23	7	51	17	1.24	9.15	3.03	4.11	4.11	0.5	0.5	611.4	2.76	0.14	3.93
262	Sean Newcomb	CHW	4	51	74.2	3	3	2	1	5	69	33	8	71	31	1.34	8.53	3.72	4.00	4.10	0.5	0.6	999.0	2.10	-0.45	4.22
263	Tyler Rogers	TOR	0	69	70.1	4	4	0	2	24	71	29	7	48	14	1.19	6.11	1.74	3.69	3.78	0.5	0.5	685.2	3.25	0.12	3.79
264	Tommy Nance	TOR	0	54	56.2	2	3	0	0	8	54	24	6	53	17	1.25	8.43	2.74	3.82	3.64	0.5	0.3	999.0	3.23	2.34	3.79
265	Emilio Pagán	CIN	0	63	66.0	3	3	0	26	4	56	30	11	72	22	1.19	9.84	3.02	4.07	4.15	0.5	0.4	107.5	1.43	-1.46	2.56
266	JoJo Romero	STL	0	63	64.0	4	4	0	12	21	58	25	6	60	25	1.29	8.42	3.50	3.56	3.72	0.5	0.6	590.6	1.88	0.49	3.56
267	Steven Okert	HOU	0	63	63.2	3	2	0	0	10	54	28	9	71	23	1.20	10.04	3.19	3.98	3.95	0.5	0.2	999.0	1.46	1.84	4.03
268	Cody Bradford	TEX	5	18	42.2	3	3	2	0	1	41	20	6	37	10	1.18	7.84	2.04	4.25	4.07	0.5	0.3	999.0	2.56	-0.18	3.69
269	Kevin Ginkel	ARI	0	58	59.2	3	3	0	13	9	55	26	6	61	21	1.27	9.19	3.18	3.95	3.60	0.5	0.3	720.0	3.42	0.61	3.50
270	Phil Maton	CHC	0	64	65.1	3	3	0	5	16	54	27	7	71	24	1.20	9.73	3.34	3.71	3.70	0.5	0.5	704.6	2.22	-0.33	3.90
