i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
820	T.J. Sikkema	BOS	13	21	71.1	4	6		0	0	74	39	9	48	26	1.40	6.06	3.28	4.92	4.90	0.3	0.3	999.0
821	Walbert Urena	LAA	25	25	118.1	5	8		0	0	124	71	16	85	61	1.56	6.47	4.64	5.40	5.21	0.3	-0.3	999.0
822	Aaron Rozek	NYM	11	26	92.2	3	4		0	0	100	52	14	66	30	1.40	6.41	2.91	5.05	4.81	0.3	-0.1	999.0
823	Karson Milbrandt	MIA	22	22	90.0	3	5		0	0	89	50	12	75	48	1.52	7.50	4.80	5.00	5.04	0.3	0.3	999.0
824	Tim Mayza	PHI	1	43	37.1	2	1		0	1	38	17	4	32	12	1.34	7.72	2.90	4.10	3.86	0.3	0.2	999.0
825	Trevor Martin	TBR	12	30	77.0	4	5		0	0	81	42	13	62	26	1.39	7.25	3.04	4.91	4.89	0.3	0.1	999.0
826	Carlos Carrasco	ATL	19	21	95.2	4	7		0	0	113	57	16	72	33	1.53	6.77	3.10	5.36	5.00	0.3	-0.1	999.0
827	Victor Juarez	COL	7	31	80.0	4	6		0	0	89	45	12	53	25	1.43	5.96	2.81	5.06	4.89	0.3	0.4	999.0
828	Luis Gastelum	STL	0	41	56.0	4	3		0	0	52	25	7	56	18	1.25	9.00	2.89	4.02	3.89	0.3	0.2	999.0
829	Shaun Anderson	LAA	18	26	103.2	4	7		0	0	120	61	18	70	30	1.45	6.08	2.60	5.29	5.00	0.3	-0.2	999.0
830	Henry Williams	KCR	19	20	96.1	4	7		0	0	101	56	14	67	39	1.45	6.26	3.64	5.23	5.07	0.3	0.0	999.0
831	Jackson Stephens		3	24	43.0	2	3		0	0	43	20	5	35	13	1.30	7.33	2.72	4.19	4.14	0.3	0.3	999.0
832	Jesus Tinoco	MIA	1	36	43.1	1	2		0	0	41	20	5	37	17	1.34	7.69	3.53	4.16	4.17	0.3	0.2	999.0
833	Sam Armstrong	MIN	21	24	103.1	5	7		0	0	115	60	15	66	35	1.45	5.75	3.05	5.23	5.08	0.3	-0.1	999.0
834	Randy Wynne		12	18	66.1	2	5		0	0	79	41	12	34	16	1.43	4.62	2.17	5.57	5.32	0.3	-0.1	999.0
835	Keegan Thompson	COL	5	31	62.1	3	5		0	1	60	33	9	59	28	1.41	8.52	4.04	4.77	4.71	0.3	0.4	999.0
836	Sam Aldegheri	LAA	23	24	122.2	6	10		0	0	130	74	20	92	55	1.51	6.75	4.03	5.43	5.32	0.3	-0.3	999.0
837	Ryan Fernandez	STL	0	54	59.0	4	4		0	1	53	27	7	63	26	1.34	9.61	3.97	4.12	3.91	0.3	0.2	999.0
838	Jalen Beeks		3	52	60.2	5	3		0	0	58	25	6	52	24	1.35	7.71	3.56	3.71	4.04	0.3	0.7	999.0
839	Luke Russo	PHI	10	14	59.0	3	4		0	0	61	34	9	49	25	1.46	7.47	3.81	5.19	4.93	0.3	0.0	999.0
840	Walker Buehler		20	22	104.2	5	8		0	0	111	62	19	88	41	1.45	7.56	3.52	5.33	5.19	0.3	0.0	999.0
841	Bailey Dees	NYY	12	30	84.0	5	6		0	0	81	46	13	72	36	1.39	7.71	3.86	4.93	4.93	0.3	-0.1	999.0
842	Robert Dugger		16	19	80.0	3	5		0	0	84	47	12	57	35	1.49	6.41	3.94	5.29	5.05	0.3	-0.3	999.0
843	Justin Lawrence	PIT	0	46	50.0	3	4		1	12	43	22	4	52	25	1.36	9.36	4.50	3.96	3.96	0.3	0.3	999.0
844	Curtis Taylor		19	27	103.0	5	6		0	0	105	55	15	79	40	1.41	6.90	3.50	4.81	4.89	0.3	0.4	999.0
845	RJ Petit	COL	2	44	56.1	4	7		0	0	57	29	7	49	21	1.39	7.83	3.36	4.64	4.40	0.3	0.4	999.0
846	Alex Clemmey	WSN	24	24	103.1	4	7		0	0	102	61	14	90	62	1.59	7.84	5.40	5.31	5.10	0.3	-0.1	999.0
847	Pat Gallagher	TOR	7	30	68.0	4	4		0	0	69	35	10	54	25	1.38	7.15	3.31	4.63	4.69	0.3	0.1	999.0
848	Greg Weissert	BOS	0	62	59.1	5	4		1	17	56	27	7	54	21	1.30	8.20	3.19	4.10	4.06	0.3	0.3	999.0
849	Brock Selvidge	NYY	18	18	81.2	4	6		0	0	84	48	11	55	40	1.52	6.06	4.41	5.29	5.15	0.3	-0.2	999.0
850	Victor Vodnik	COL	0	54	57.0	3	4		22	4	54	26	6	54	28	1.44	8.53	4.42	4.11	4.14	0.2	0.6	440.4
851	Matt Svanson	STL	1	48	71.2	3	3		6	15	65	30	8	66	25	1.26	8.28	3.14	3.77	4.04	0.2	0.6	705.5
852	Jackson Nezuh	HOU	15	20	79.2	5	7		0	0	81	43	13	64	32	1.42	7.23	3.61	4.86	4.97	0.2	0.2	999.0
853	Cameron Foster	BAL	6	28	54.1	3	4		0	0	56	27	8	48	21	1.42	7.96	3.48	4.48	4.50	0.2	0.2	999.0
854	Frankie Montas		17	18	86.0	4	7		0	0	90	52	14	71	38	1.49	7.43	3.98	5.44	5.07	0.2	-0.3	999.0
855	PJ Poulin	WSN	2	52	59.0	4	4		2	15	55	28	7	59	25	1.36	9.00	3.81	4.27	4.15	0.2	0.2	999.0
856	Tyler Rogers	TOR	0	68	65.1	5	3		2	18	63	27	7	44	16	1.21	6.06	2.21	3.72	4.05	0.2	0.5	685.2
857	Rob Zastryzny	MIL	3	40	38.2	2	1		0	4	37	18	5	35	13	1.29	8.14	3.02	4.19	4.17	0.2	0.2	999.0
858	Alex Lange	KCR	1	43	40.0	3	3		0	7	32	17	3	44	23	1.38	9.90	5.18	3.83	3.86	0.2	0.4	999.0
859	Max Kranick		4	26	40.1	2	1		0	0	41	20	6	31	11	1.29	6.92	2.46	4.47	4.43	0.2	0.0	999.0
860	Nick Frasso	LAD	11	34	73.2	3	4		0	0	75	41	11	60	30	1.42	7.33	3.66	5.01	4.87	0.2	0.0	999.0
861	Yunior Tur	ATH	20	26	97.2	4	6		0	0	100	56	15	79	46	1.49	7.28	4.24	5.16	5.14	0.2	0.0	999.0
862	Elieser Hernández	ATL	12	18	63.2	4	5		0	0	66	35	11	54	21	1.37	7.63	2.97	4.95	4.77	0.2	0.2	999.0
863	Jose Espada	BAL	2	38	53.0	3	4		0	1	49	27	7	53	26	1.42	9.00	4.42	4.58	4.38	0.2	-0.1	999.0
864	José Rodríguez	LAD	4	36	60.2	5	6		0	0	55	32	9	66	30	1.40	9.79	4.45	4.74	4.52	0.2	-0.1	999.0
865	Nick Raquet	STL	2	35	57.0	6	6		0	1	57	27	7	46	19	1.33	7.26	3.00	4.26	4.33	0.2	0.2	999.0
866	Zach McCambley	PHI	3	37	56.0	3	3		0	0	52	29	7	56	25	1.38	9.00	4.02	4.66	4.37	0.2	0.1	999.0
867	Jake Palisch	CHW	10	29	81.0	4	5		0	0	92	44	12	46	23	1.42	5.11	2.56	4.89	4.85	0.2	0.0	999.0
868	Troy Watson	DET	12	32	79.2	4	6		0	0	84	44	11	58	34	1.48	6.55	3.84	4.97	4.83	0.2	-0.1	999.0
869	Isaac Mattson	PIT	1	51	59.2	4	4		2	13	53	27	7	57	28	1.36	8.59	4.22	4.07	4.31	0.2	0.4	999.0
870	Hoby Milner	CHC	0	58	56.0	3	2		0	13	54	25	6	47	16	1.25	7.55	2.57	4.02	3.87	0.2	0.2	999.0
871	Joan Adon		12	28	75.0	3	6		0	0	78	43	9	59	36	1.52	7.08	4.32	5.16	4.84	0.2	0.0	999.0
872	Edgardo Henriquez	LAD	4	41	46.1	2	3		0	1	41	24	6	50	23	1.38	9.72	4.47	4.67	4.41	0.2	0.0	999.0
873	Owen White		15	22	81.0	3	5		0	0	87	47	11	57	36	1.52	6.33	4.00	5.22	5.05	0.2	-0.2	999.0
874	Alex Amalfi	TOR	8	31	70.1	5	6		0	0	68	36	10	63	34	1.45	8.07	4.35	4.61	4.77	0.2	0.1	999.0
875	Juan Mejia	COL	0	57	64.1	2	4		3	14	58	32	8	69	30	1.37	9.66	4.20	4.48	4.38	0.2	0.3	999.0
876	Anthony Nunez	BAL	0	48	50.2	4	4		0	0	42	23	6	56	21	1.24	9.94	3.73	4.08	4.00	0.2	0.1	999.0
877	Philip Abner	ARI	0	52	53.1	2	3		0	1	51	24	6	50	21	1.35	8.44	3.55	4.05	4.07	0.2	0.2	999.0
878	Grant Wolfram	BAL	0	43	54.0	4	4		0	1	52	26	6	52	25	1.43	8.67	4.17	4.33	4.21	0.2	-0.1	999.0
879	Ryne Stanek	STL	0	54	48.0	4	4		2	12	44	22	5	48	24	1.42	9.00	4.50	4.13	4.05	0.2	0.1	999.0
880	Kyle Brnovich	PHI	15	19	71.2	3	5		0	0	72	42	11	62	34	1.48	7.78	4.27	5.27	5.07	0.2	0.1	999.0
881	Austin Warren	NYM	3	35	51.2	5	5		0	5	49	26	7	47	20	1.33	8.18	3.48	4.53	4.47	0.2	0.0	999.0
882	Franco Aleman	CLE	1	33	41.0	4	3		0	0	36	18	5	46	18	1.32	10.10	3.95	3.95	4.01	0.2	0.3	999.0
883	Anthony Veneziano		11	37	82.1	3	4		0	0	82	44	11	66	36	1.43	7.22	3.94	4.81	4.73	0.2	-0.1	999.0
884	Jack Dallas	PHI	3	32	47.0	1	2		0	0	48	25	6	37	15	1.34	7.09	2.87	4.79	4.37	0.2	0.0	999.0
885	Elvis Peguero		1	44	46.0	3	4		0	0	45	23	4	38	22	1.46	7.43	4.30	4.50	4.24	0.2	-0.1	999.0
886	Evan Sisk	PIT	0	53	53.2	2	3		0	7	49	24	5	53	24	1.36	8.88	4.02	4.02	3.94	0.2	0.3	999.0
887	Brandon Komar		8	25	84.0	3	5		0	0	94	51	13	52	29	1.46	5.57	3.11	5.46	5.05	0.2	-0.2	999.0
888	Anthony DeSclafani		10	15	57.2	3	3		0	0	62	29	9	46	19	1.40	7.18	2.96	4.52	4.71	0.2	0.5	999.0
889	Raúl Alcantara		11	32	86.1	5	6		0	0	86	44	12	68	36	1.41	7.09	3.75	4.59	4.83	0.2	0.3	999.0
890	Drew Sommers	DET	1	47	58.2	3	3		0	1	58	27	6	50	21	1.35	7.67	3.22	4.14	4.09	0.2	0.2	999.0
891	Ben Anderson	TEX	18	22	91.0	4	8		0	0	102	54	13	51	35	1.51	5.04	3.46	5.34	5.12	0.2	-0.3	999.0
892	Dedniel Núñez	NYM	0	28	36.2	2	2		0	0	34	17	5	38	15	1.34	9.32	3.68	4.17	4.06	0.2	0.1	999.0
893	Brent Suter	LAA	3	43	57.1	1	2		0	12	60	30	8	44	18	1.36	6.91	2.83	4.71	4.46	0.2	0.1	999.0
894	Fraser Ellard		2	45	47.2	3	4		0	0	41	22	5	51	26	1.40	9.62	4.91	4.15	4.25	0.2	0.2	999.0
895	Elvis Alvarado	ATH	0	54	62.0	3	3		3	10	54	28	8	66	28	1.32	9.58	4.06	4.06	4.23	0.2	0.3	735.7
896	Ryan Costeiu	LAA	17	21	92.2	4	8		0	0	98	57	16	73	39	1.48	7.09	3.79	5.53	5.16	0.2	-0.4	999.0
897	Jonathan Loáisiga	ARI	1	36	39.1	2	1		0	1	38	15	4	32	11	1.25	7.33	2.52	3.44	3.82	0.2	0.6	999.0
898	Mason Fluharty	TOR	0	62	61.1	4	3		0	1	52	27	8	66	25	1.26	9.69	3.67	3.96	4.10	0.2	0.2	999.0
899	Roque Gutierrez	LAD	9	23	83.1	3	5		0	0	87	50	14	67	34	1.45	7.24	3.67	5.40	5.01	0.2	-0.4	999.0
900	Hayden Juenger	TOR	4	41	56.2	3	4		0	0	54	28	7	48	24	1.38	7.62	3.81	4.44	4.48	0.2	0.1	999.0
901	Chris Flexen		15	26	95.2	5	6		0	0	99	52	15	70	37	1.42	6.58	3.48	4.89	4.93	0.2	0.2	999.0
902	Jordan Romano	LAA	0	44	40.2	3	3		1	10	37	20	6	44	15	1.28	9.73	3.32	4.42	4.22	0.2	-0.1	999.0
903	Reed Garrett	NYM	0	37	38.1	4	3		0	0	35	17	4	41	19	1.41	9.63	4.46	3.99	3.92	0.2	0.2	999.0
904	Ian Gibaut		0	42	41.0	2	3		0	0	42	21	5	34	16	1.41	7.46	3.51	4.61	4.38	0.2	0.0	999.0
905	Joel Payamps	ATL	0	54	52.0	3	2		0	9	50	23	6	47	16	1.27	8.13	2.77	3.98	3.87	0.2	0.3	999.0
906	Richard Lovelady	WSN	1	43	46.1	2	2		0	7	44	22	5	43	15	1.27	8.36	2.92	4.28	3.98	0.2	0.0	999.0
907	Wil Jensen		7	26	69.0	4	3		0	0	66	34	10	60	28	1.36	7.83	3.65	4.43	4.63	0.2	0.3	999.0
908	Kyle Funkhouser		8	13	49.1	2	3		0	0	47	28	7	47	26	1.48	8.58	4.75	5.11	4.90	0.2	-0.1	999.0
909	Trent Harris	SFG	0	38	56.1	4	4		0	0	56	25	7	49	17	1.30	7.83	2.72	4.00	3.92	0.2	0.2	999.0
910	Scott Blewett	STL	7	32	65.2	3	4		0	1	68	32	8	47	24	1.40	6.44	3.29	4.38	4.47	0.2	0.3	999.0
911	Joe Miller	DET	20	23	92.2	4	6		0	0	104	54	15	58	29	1.43	5.63	2.82	5.24	5.12	0.2	-0.1	999.0
912	Jake Miller	DET	5	15	49.0	3	3		0	0	52	26	8	39	14	1.35	7.16	2.57	4.78	4.71	0.2	0.1	999.0
913	Carson Ragsdale		18	24	83.0	5	7		0	0	85	45	12	71	38	1.48	7.70	4.12	4.88	4.82	0.2	0.3	999.0
914	Alex Williams	MIA	10	24	78.1	4	5		0	0	85	43	11	53	28	1.44	6.09	3.22	4.94	4.87	0.2	0.2	999.0
915	José Fermin	LAA	1	54	57.2	4	6		0	7	50	28	8	59	26	1.32	9.20	4.06	4.37	4.35	0.2	0.1	999.0
916	Max Rajcic	STL	24	24	113.1	5	7		0	0	120	63	17	76	40	1.41	6.04	3.18	5.00	5.04	0.2	0.2	999.0
917	Wandy Peralta	SDP	1	59	58.1	3	3		0	12	51	26	5	50	26	1.32	7.72	4.01	4.01	4.03	0.2	0.2	999.0
918	Josh Sborz	TEX	0	38	35.0	2	3		0	4	33	16	4	34	15	1.37	8.74	3.86	4.11	3.96	0.2	0.1	999.0
919	Jairo Iriarte	CHW	13	29	76.2	3	6		0	0	75	44	10	66	41	1.51	7.74	4.81	5.16	5.06	0.2	-0.2	999.0
920	Shintaro Fujinami		4	29	50.1	4	3		0	0	43	24	5	52	28	1.41	9.30	5.01	4.29	4.27	0.2	0.0	999.0
921	Kyle Finnegan	DET	1	53	53.0	4	4		4	13	51	24	7	47	19	1.32	7.98	3.23	4.08	4.15	0.2	0.2	469.0
922	Joe Jiménez	ATL	0	41	38.1	2	2		0	1	34	18	5	44	15	1.28	10.34	3.52	4.23	3.87	0.2	0.1	999.0
923	Austin Pope	ATL	2	39	47.2	3	3		0	0	46	22	6	46	17	1.32	8.68	3.21	4.15	4.04	0.2	0.2	999.0
924	Alessandro Ercolani	PIT	18	24	90.2	3	6		0	0	98	50	12	55	36	1.48	5.46	3.57	4.96	5.03	0.2	0.3	999.0
925	David Morgan	SDP	1	48	58.0	3	2		0	13	50	26	7	61	23	1.26	9.47	3.57	4.03	4.05	0.2	0.2	999.0
926	Drake Fellows	NYY	16	28	91.0	5	7		0	0	96	52	14	62	37	1.46	6.13	3.66	5.14	5.12	0.2	-0.2	999.0
927	Ryan Ramsey	KCR	16	22	92.2	5	8		0	0	95	53	13	71	42	1.48	6.89	4.08	5.15	5.08	0.2	0.1	999.0
928	Trevor Kuncl	CIN	0	44	44.0	2	2		0	0	44	23	6	37	14	1.32	7.57	2.86	4.70	4.25	0.2	-0.1	999.0
929	Tyler Ferguson	ATH	0	56	61.2	3	4		0	1	54	30	6	60	31	1.38	8.75	4.52	4.38	4.20	0.2	0.1	999.0
930	Cole Sulser	TBR	1	39	44.1	2	3		0	10	44	21	6	39	15	1.33	7.92	3.05	4.27	4.22	0.2	0.1	999.0
931	Zane Mills	CHC	8	27	72.2	5	5		0	0	74	38	10	52	25	1.36	6.44	3.09	4.70	4.69	0.2	0.2	999.0
932	Liam Hendriks	MIN	1	25	22.1	2	1		0	1	21	11	3	24	9	1.35	9.69	3.63	4.44	4.08	0.2	0.0	999.0
933	Beau Burrows	PIT	5	31	53.1	3	4		0	0	54	27	6	43	24	1.46	7.26	4.05	4.56	4.50	0.2	0.2	999.0
934	Ryan Brasier	TEX	1	39	37.0	1	1		0	1	33	16	4	30	11	1.19	7.30	2.68	3.89	3.89	0.2	0.3	999.0
935	Tommy Vail	CHW	8	28	73.0	3	5		0	0	72	41	10	62	40	1.53	7.64	4.93	5.05	4.94	0.2	-0.1	999.0
936	Calvin Faucher	MIA	1	56	54.0	3	4		5	11	51	24	6	54	25	1.41	9.00	4.17	4.00	4.08	0.2	0.3	999.0
937	Patrick Murphy	TEX	2	20	27.2	2	2		0	0	27	14	3	24	12	1.41	7.80	3.90	4.55	4.22	0.2	0.0	999.0
938	Brennan Bernardino	COL	3	51	47.0	3	3		2	10	45	23	5	43	23	1.45	8.23	4.40	4.40	4.48	0.2	0.4	999.0
939	Peyton Pallette	CLE	6	41	63.1	3	3		0	0	57	31	9	64	28	1.34	9.10	3.98	4.41	4.53	0.2	0.1	999.0
940	Adisyn Coffey	CHW	1	42	51.0	3	5		0	0	49	26	7	49	22	1.39	8.65	3.88	4.59	4.35	0.2	-0.1	999.0
941	José Quijada		0	38	35.1	2	3		0	0	30	17	4	40	17	1.33	10.20	4.33	4.33	3.96	0.2	0.0	999.0
942	Gunnar Hoglund	ATH	14	15	72.0	4	5		0	1	77	40	13	51	21	1.36	6.38	2.63	5.00	5.11	0.2	0.2	999.0
943	Jackson Jobe	DET	19	20	78.1	3	5		0	0	78	43	12	58	37	1.47	6.67	4.25	4.94	5.14	0.2	0.2	999.0
944	Austin Krob		13	23	76.1	3	3		0	0	79	41	9	56	38	1.53	6.61	4.48	4.84	4.93	0.2	0.1	999.0
945	Wade Miley		13	13	57.1	2	5		0	0	62	36	9	33	21	1.45	5.18	3.30	5.65	5.28	0.2	-0.1	999.0
946	Edgar Barclay		16	20	86.2	4	6		0	0	89	52	14	65	38	1.46	6.75	3.94	5.40	5.22	0.2	-0.3	999.0
947	Erik Sabrowski	CLE	1	41	43.1	2	2		0	14	34	19	5	53	27	1.41	11.02	5.61	3.95	4.20	0.2	0.2	999.0
948	Spencer Miles	TOR	3	12	15.0	1	1		0	0	14	7	2	15	6	1.33	9.00	3.60	4.20	4.07	0.2	0.1	999.0
949	Yimi García	TOR	0	42	39.2	2	3		4	11	34	18	5	42	15	1.23	9.52	3.40	4.08	4.02	0.2	0.1	735.3
950	Gabriel Barbosa	PHI	10	26	83.0	3	6		0	0	95	50	13	51	24	1.43	5.53	2.60	5.42	4.99	0.2	-0.3	999.0
951	Geoff Hartlieb	ATH	1	37	50.2	3	3		0	0	51	26	7	45	21	1.42	7.99	3.73	4.62	4.52	0.2	-0.1	999.0
952	Joe Ross	ARI	5	32	56.2	2	2		0	1	56	28	7	45	22	1.38	7.14	3.49	4.44	4.48	0.2	0.2	999.0
953	Braeden Fausnaught	PHI	13	17	71.2	4	5		0	0	79	42	12	51	27	1.48	6.40	3.39	5.27	5.14	0.2	0.1	999.0
954	Kodi Whitley	TBR	0	29	36.1	2	2		0	0	35	17	5	33	11	1.27	8.18	2.73	4.21	4.10	0.2	0.1	999.0
955	Gus Varland	WSN	2	42	51.1	2	3		0	4	51	26	6	51	24	1.46	8.95	4.21	4.56	4.30	0.2	0.0	999.0
956	Cade Winquest	NYY	18	21	84.1	4	6		0	0	87	52	14	64	34	1.44	6.83	3.63	5.55	5.23	0.2	-0.5	999.0
957	Ian Bedell	STL	17	18	71.2	2	4		0	0	74	39	11	55	28	1.42	6.90	3.51	4.90	4.98	0.2	0.2	999.0
958	Mitch Neunborn	PHI	14	27	76.0	4	7		0	0	82	46	12	56	31	1.49	6.63	3.67	5.45	5.06	0.2	-0.2	999.0
959	Anthony Bender	MIA	0	49	46.2	4	3		1	12	41	20	5	44	18	1.26	8.48	3.47	3.85	3.99	0.2	0.3	999.0
960	Alejandro Hidalgo	MIN	23	23	81.2	3	5		0	0	84	49	13	71	42	1.54	7.82	4.63	5.40	5.15	0.2	-0.2	999.0
961	Ben Peoples	CHW	9	33	57.1	3	4		0	0	58	32	8	48	28	1.50	7.54	4.40	5.03	4.90	0.2	-0.2	999.0
962	Enyel De Los Santos	HOU	0	60	60.2	4	3		0	12	54	27	9	61	21	1.24	9.04	3.11	4.00	4.24	0.2	0.2	999.0
963	Luis Patiño		10	12	35.2	1	2		0	0	35	19	5	28	16	1.43	7.06	4.03	4.79	4.82	0.2	0.1	999.0
964	Dylan File	DET	19	22	102.2	4	7		0	0	119	61	17	58	29	1.44	5.08	2.54	5.35	5.18	0.2	-0.3	999.0
965	Grant Holman	ATH	2	38	42.2	3	3		0	1	42	21	6	37	15	1.33	7.80	3.16	4.43	4.42	0.2	0.1	999.0
966	Kyle Virbitsky		7	23	65.1	3	5		0	0	71	35	10	47	21	1.41	6.48	2.89	4.82	4.79	0.2	0.0	999.0
967	Josh Walker	BAL	0	37	41.2	2	2		0	0	41	21	5	39	18	1.41	8.42	3.88	4.53	4.26	0.2	-0.2	999.0
968	Ethan Roberts	CHC	1	39	44.1	3	2		0	1	40	21	6	46	18	1.31	9.35	3.66	4.27	4.31	0.2	0.0	999.0
969	Nigel Belgrave	MIA	1	41	60.1	4	4		0	0	53	29	7	61	27	1.33	9.10	4.03	4.33	4.26	0.2	0.2	999.0
970	David Leal		5	34	65.2	3	3		0	0	69	35	9	46	21	1.37	6.30	2.88	4.79	4.70	0.2	0.0	999.0
971	Blake Townsend	TEX	9	32	71.2	4	6		0	0	73	37	9	51	24	1.35	6.40	3.01	4.64	4.77	0.2	0.3	999.0
972	Matt Festa	CLE	0	55	55.0	4	4		0	12	49	25	7	55	20	1.25	9.00	3.27	4.09	4.10	0.2	0.1	999.0
973	Grant Hartwig	MIN	0	34	41.2	3	4		0	0	39	20	4	39	18	1.37	8.42	3.88	4.32	4.09	0.2	0.0	999.0
974	Andrew Chafin	MIN	0	50	42.1	2	3		0	7	40	21	5	46	23	1.49	9.79	4.89	4.47	4.20	0.2	-0.1	999.0
975	Nic Enright	TOR	0	30	37.1	2	2		0	0	35	17	5	34	13	1.29	8.20	3.14	4.10	4.18	0.2	0.1	999.0
976	John Means	KCR	9	9	36.0	2	2		0	0	37	18	6	24	9	1.28	6.00	2.25	4.50	4.89	0.1	0.3	999.0
977	Zach Franklin	CHW	0	43	47.0	2	4		0	0	43	24	6	47	20	1.34	9.00	3.83	4.60	4.26	0.1	-0.2	999.0
978	Peter Heubeck	LAD	19	19	73.2	3	5		0	0	71	45	11	63	42	1.53	7.69	5.13	5.50	5.28	0.1	-0.3	999.0
979	Phil Maton	CHC	0	58	56.0	4	3		4	14	44	23	6	58	22	1.18	9.32	3.54	3.70	4.01	0.1	0.4	704.6
980	Blake Burkhalter	ATL	14	26	84.0	4	5		0	0	88	46	13	63	31	1.42	6.75	3.32	4.93	4.90	0.1	0.2	999.0
981	Michael Knorr	HOU	3	35	50.0	3	4		0	0	48	25	7	48	22	1.40	8.64	3.96	4.50	4.42	0.1	0.0	999.0
982	Riley O'Brien	STL	0	51	55.2	2	2		16	9	47	24	5	59	26	1.31	9.53	4.20	3.88	3.96	0.1	0.3	250.1
983	Ricky Vanasco	DET	6	26	44.0	3	3		0	0	41	22	6	43	23	1.45	8.80	4.70	4.50	4.66	0.1	0.1	999.0
984	Colin Holderman	CLE	1	44	47.0	3	2		0	1	43	21	5	45	20	1.34	8.62	3.83	4.02	4.14	0.1	0.1	999.0
985	Angel Felipe		2	35	39.1	1	2		0	0	35	19	4	41	22	1.45	9.39	5.04	4.35	4.36	0.1	0.0	999.0
986	Bradgley Rodriguez	SDP	0	49	55.0	4	3		0	4	49	25	6	50	24	1.33	8.18	3.93	4.09	4.32	0.1	0.1	999.0
987	Declan Cronin	TEX	1	42	48.0	2	2		0	0	45	25	5	41	20	1.35	7.69	3.75	4.69	4.28	0.1	-0.2	999.0
988	Dylan DeLucia	CLE	18	20	83.1	4	7		0	0	85	46	14	65	32	1.40	7.02	3.46	4.97	5.09	0.1	0.1	999.0
989	Logan Gillaspie	SDP	8	29	58.1	2	3		0	0	61	30	8	42	20	1.39	6.48	3.09	4.63	4.61	0.1	0.1	999.0
990	Joe Jacques	NYM	1	43	49.2	2	2		0	0	49	24	5	42	18	1.35	7.61	3.26	4.35	4.20	0.1	0.0	999.0
991	Reiss Knehr		6	24	51.1	2	3		0	0	48	27	7	47	24	1.40	8.25	4.21	4.74	4.66	0.1	0.0	999.0
992	Hans Crouse	BAL	0	41	45.0	4	4		0	0	37	21	6	53	23	1.33	10.60	4.60	4.20	4.11	0.1	0.0	999.0
993	John Gant		16	16	66.2	3	5		0	0	73	38	10	45	29	1.53	6.07	3.91	5.13	5.13	0.1	0.1	999.0
994	Konnor Pilkington	DET	10	47	71.0	3	5		0	1	67	38	9	68	39	1.49	8.62	4.94	4.82	4.68	0.1	0.1	999.0
995	Yosver Zulueta	SEA	2	44	60.1	3	2		0	1	50	28	6	66	30	1.33	9.85	4.48	4.18	4.08	0.1	0.0	999.0
996	Walter Pennington		2	37	52.2	3	4		0	0	52	26	6	46	24	1.44	7.86	4.10	4.44	4.35	0.1	0.0	999.0
997	Phil Bickford	DET	0	43	47.2	3	3		0	0	44	24	6	46	18	1.30	8.68	3.40	4.53	4.16	0.1	-0.1	999.0
998	Aaron Brown		13	20	82.2	4	7		0	0	93	47	13	51	28	1.46	5.55	3.05	5.11	5.07	0.1	-0.1	999.0
999	Dane Acker	TEX	8	26	61.0	2	4		0	0	60	34	9	52	28	1.44	7.67	4.13	5.02	4.87	0.1	-0.2	999.0
1000	Sam Moll	CIN	0	48	41.0	2	2		0	1	37	22	5	40	19	1.37	8.78	4.17	4.83	4.45	0.1	-0.1	999.0
1001	Tyler Ivey		20	22	98.2	5	6		0	0	106	56	15	72	47	1.55	6.57	4.29	5.11	5.17	0.1	-0.1	999.0
1002	Garrett McDaniels	LAD	5	36	52.0	3	2		0	0	50	27	6	46	26	1.46	7.96	4.50	4.67	4.60	0.1	0.1	999.0
1003	Sam Bachman	LAA	5	35	47.1	3	4		0	1	47	24	5	40	23	1.48	7.61	4.38	4.57	4.53	0.1	0.1	999.0
1004	Sean Reid-Foley	ATL	0	39	39.1	3	2		0	0	35	17	4	42	21	1.42	9.62	4.81	3.89	4.00	0.1	0.3	999.0
1005	Osvaldo Berrios	BOS	5	31	58.2	4	4		0	0	63	31	8	43	21	1.43	6.59	3.22	4.75	4.67	0.1	0.0	999.0
1006	Andrew Quezada		16	22	81.1	3	6		0	0	100	50	12	41	32	1.62	4.54	3.54	5.54	5.37	0.1	0.3	999.0
1007	Kenley Jansen	DET	0	52	47.2	4	3		23	4	42	22	7	46	17	1.24	8.68	3.21	4.15	4.25	0.1	0.1	132.7
1008	Tyler Samaniego	BOS	1	31	36.1	3	2		0	0	36	17	4	30	14	1.38	7.44	3.47	4.21	4.24	0.1	0.2	999.0
1009	Connor Brogdon	CLE	1	51	59.1	3	3		0	7	56	28	9	62	25	1.37	9.41	3.79	4.25	4.38	0.1	0.1	999.0
1010	Mike Paredes	MIN	3	34	86.1	4	5		0	0	92	44	12	61	27	1.38	6.36	2.82	4.59	4.57	0.1	0.0	999.0
1011	Eric Yost	SDP	22	23	107.0	5	8		0	0	113	61	15	74	47	1.50	6.22	3.95	5.13	5.14	0.1	-0.1	999.0
1012	David Robertson		0	44	44.1	3	3		0	0	40	20	6	50	20	1.35	10.16	4.06	4.06	4.13	0.1	0.2	999.0
