i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
523	Jovani Morán	BOS	3	33	43.1	3	1		0	10	38	18	4	48	19	1.32	9.98	3.95	3.74	3.50	0.6	0.6	999.0
524	Braden Nett	ATH	21	22	87.0	4	7		0	0	88	48	11	73	44	1.52	7.55	4.55	4.97	4.82	0.6	0.3	999.0
525	Hayden Wesneski	HOU	12	25	77.1	4	5		0	1	72	38	12	71	27	1.28	8.27	3.14	4.42	4.48	0.5	0.5	999.0
526	Miguel Ullola	HOU	20	25	100.1	6	6		0	0	90	50	14	104	56	1.46	9.33	5.02	4.49	4.76	0.5	0.7	999.0
527	Kyle Hurt	LAD	13	23	66.0	4	4		0	1	60	35	9	70	35	1.44	9.55	4.77	4.77	4.56	0.5	0.2	999.0
528	Luke Weaver	NYM	5	47	69.0	4	4		4	14	64	33	10	76	24	1.28	9.91	3.13	4.30	3.95	0.5	0.2	686.8
529	Jack Cushing	TOR	9	31	86.1	5	7		0	0	90	44	13	66	25	1.33	6.88	2.61	4.59	4.54	0.5	0.4	999.0
530	Jack Anderson	BOS	5	27	71.2	4	4		0	0	76	36	10	57	20	1.34	7.15	2.51	4.52	4.24	0.5	0.3	999.0
531	Chris Clarke		9	17	60.0	3	4		0	0	60	30	7	43	17	1.28	6.45	2.55	4.50	4.27	0.5	0.4	999.0
532	Osvaldo Bido	NYY	14	26	91.0	4	6		0	1	89	48	13	81	40	1.42	8.01	3.96	4.75	4.83	0.5	0.5	999.0
533	James Hicks	HOU	10	15	66.0	3	4		0	0	67	32	9	50	20	1.32	6.82	2.73	4.36	4.48	0.5	0.5	999.0
534	Yu-Min Lin	ARI	23	23	104.0	5	6		0	0	108	52	12	77	44	1.46	6.66	3.81	4.50	4.65	0.5	1.0	999.0
535	Alex Faedo		10	23	59.2	3	4		0	0	56	30	8	53	24	1.34	7.99	3.62	4.52	4.41	0.5	0.4	999.0
536	Félix Bautista	BAL	0	37	37.1	3	2		0	1	26	14	4	50	17	1.15	12.06	4.10	3.38	3.30	0.5	0.4	999.0
537	Michael Kopech		13	38	83.1	6	5		0	0	69	41	13	90	44	1.36	9.72	4.75	4.43	4.77	0.5	0.6	735.9
538	Garrett Stallings	MIL	13	26	89.1	4	5		0	0	94	47	14	64	24	1.32	6.45	2.42	4.74	4.61	0.5	0.3	999.0
539	Daniel Espino	CLE	15	15	65.1	4	4		0	0	60	31	10	72	34	1.44	9.92	4.69	4.27	4.53	0.5	0.6	999.0
540	Raisel Iglesias	ATL	0	59	56.1	5	3		26	4	48	22	7	60	14	1.10	9.59	2.24	3.52	3.47	0.5	0.6	93.2
541	Easton McGee	MIL	5	32	62.0	3	3		0	1	58	28	7	51	17	1.21	7.40	2.47	4.06	3.97	0.5	0.6	999.0
542	Jack O'Loughlin		13	25	70.2	3	4		0	0	77	37	9	53	30	1.51	6.75	3.82	4.71	4.73	0.5	0.8	999.0
543	Michael Plassmeyer	TOR	15	24	89.0	5	7		0	0	90	47	14	71	26	1.30	7.18	2.63	4.75	4.76	0.5	0.2	999.0
544	Hayden Mullins	BOS	19	21	85.2	4	5		0	0	82	46	11	78	44	1.47	8.19	4.62	4.83	4.77	0.5	0.5	999.0
545	Chayce McDermott	BAL	15	25	79.0	5	5		0	1	75	41	11	77	39	1.44	8.77	4.44	4.67	4.63	0.5	0.3	999.0
546	Dylan Lee	ATL	0	64	61.2	3	3		1	16	53	24	9	71	18	1.15	10.36	2.63	3.50	3.61	0.5	0.7	999.0
547	Kenta Maeda		18	24	97.1	5	6		0	0	102	55	15	76	35	1.41	7.03	3.24	5.09	4.78	0.5	0.0	999.0
548	Ricky Castro	MIN	13	24	81.1	3	4		0	0	87	43	12	60	26	1.39	6.64	2.88	4.76	4.61	0.5	0.3	999.0
549	C.J. Culpepper	MIN	23	23	72.2	3	3		0	0	73	39	8	56	34	1.47	6.93	4.21	4.83	4.68	0.5	0.3	999.0
550	Braydon Fisher	TOR	1	57	60.2	4	3		0	7	49	25	7	71	29	1.29	10.53	4.30	3.71	3.88	0.5	0.5	999.0
551	Steven Okert	HOU	1	57	55.2	3	2		0	14	45	23	8	65	19	1.15	10.50	3.07	3.72	3.85	0.5	0.4	999.0
