,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
1905,Korey Lee,2.5,3.3380918415851206,11.125,13.871218918527465,10.375,12.648404755428365,1.625,1.9955307206712847,0.26975000000000005,0.00781482108377592,-0.4493585171364586,-7.514275524755362,12.514275524755362,-0.5995627864800135,-30.488656755582397,52.7386567555824,-0.6291966052017606,-27.57021426628509,48.32021426628509,-1.5659994444729815,-4.361592162013854,7.611592162013854,-4.894545836680695,0.24630553674867228,0.2931944632513278,-8.13866318997191,C,1.0
1914,Kody Huff,1.6666666666666667,2.8867513459481287,11.666666666666666,20.207259421636902,11.333333333333334,19.629909152447276,0.6666666666666666,1.1547005383792517,0.2796666666666667,0.00907377172587745,-0.808290376865476,-6.993587371177719,10.326920704511052,-0.3847627151099405,-48.95511159824404,72.28844493157737,-0.35659869567594527,-47.55639412400849,70.22306079067516,-3.536270398786457,-2.7974349484710888,4.130768281804422,-3.1225530230752456,0.25244535148903435,0.306887981844299,-8.208475209513065,C,1.0
1943,Kevin Parada,4.0,6.928203230275509,13.333333333333334,23.09401076758503,17.0,29.444863728670914,0.6666666666666666,1.1547005383792517,0.2753333333333334,0.0070237691685684795,0.0,-16.784609690826528,24.784609690826528,-0.26449859207249465,-55.94869896942175,82.61536563608841,-0.045282374054088255,-71.33459118601274,105.33459118601274,-3.536270398786457,-2.7974349484710888,4.130768281804422,-4.650874179187247,0.2542620258276279,0.29640464083903884,-8.496925544100288,C,1.0
1990,Jakson Reetz,3.0,5.196152422706632,9.0,15.588457268119896,12.0,20.784609690826528,0.6666666666666666,1.1547005383792517,0.27,0.009165151389911688,-0.19245008972987526,-12.588457268119896,18.588457268119896,-0.6698332289764786,-37.76537180435969,55.76537180435969,-0.3047126420723024,-50.353829072479584,74.35382907247958,-3.536270398786457,-2.7974349484710888,4.130768281804422,-4.146139914483849,0.24250454583026496,0.2974954541697351,-8.849406274048963,C,1.0
1994,Christian Cerda,2.6666666666666665,4.618802153517007,12.0,20.784609690826528,13.0,22.516660498395403,0.3333333333333333,0.5773502691896258,0.3056666666666667,0.006806859285554044,-0.28867513459481287,-11.189739793884355,16.52307312721769,-0.3580373544349525,-50.353829072479584,74.35382907247958,-0.23686164889830796,-54.549981495186216,80.54998149518622,-7.649891066762541,-1.3987174742355444,2.065384140902211,-0.3427914748120692,0.28524608881000457,0.3260872445233288,-8.876256679502683,C,1.0
2013,Jake Rogers,6.25,0.7071067811865476,22.75,4.267819784654187,23.25,4.46414285485707,0.75,0.4629100498862757,0.28025,0.0049785253123504555,3.181980515339464,4.128679656440357,8.371320343559642,0.7751811229773989,9.946540646037437,35.553459353962566,1.1013685776917383,9.857571435428788,36.64242856457121,-8.640987597877148,-0.6387301496588271,2.1387301496588274,-5.573939722905355,0.26531442406294864,0.29518557593705136,-9.156397104773902,C,1.0
2016,Connor Charping,0.3333333333333333,0.5773502691896258,8.333333333333334,14.433756729740644,6.333333333333333,10.96965511460289,1.6666666666666667,2.8867513459481287,0.309,0.01228820572744452,-6.350852961085883,-1.3987174742355444,2.065384140902211,-0.7696079088297669,-34.967936855888595,51.63460352255527,-1.093926825832975,-26.575632010475342,39.24229867714201,-1.0680979980008076,-6.993587371177719,10.326920704511052,0.08137884587711594,0.2721353828176664,0.3458646171823336,-9.201106847872314,C,1.0
2018,Nathan Hickey,4.0,6.928203230275509,15.333333333333334,26.558112382722783,18.0,31.176914536239792,0.3333333333333333,0.5773502691896258,0.29633333333333334,0.008326663997864536,0.0,-16.784609690826528,24.784609690826528,-0.154692218864392,-64.34100381483502,95.00767048150168,-0.010691671651659698,-75.53074360871938,111.53074360871938,-7.649891066762541,-1.3987174742355444,2.065384140902211,-1.4011213457945106,0.2713533413397397,0.32131332532692697,-9.216396303073102,C/1B,1.0
2020,Christian Bethancourt,2.3333333333333335,4.041451884327381,9.0,14.730919862656235,9.333333333333334,15.307950004273378,1.0,1.7320508075688772,0.246,0.011532562594670807,-0.41239304942116123,-9.791022319648809,14.457688986315476,-0.7088265202729707,-35.1927595879687,53.1927595879687,-0.5879298010176119,-36.5905166794868,55.25718334615347,-2.165063509461097,-4.196152422706632,6.196152422706632,-5.376081811049539,0.21140231221598757,0.2805976877840124,-9.25029469122238,C,1.0
2036,Onil Perez,0.3333333333333333,0.5773502691896258,9.333333333333334,16.165807537309522,8.0,13.856406460551018,2.6666666666666665,4.618802153517007,0.29833333333333334,0.008082903768654774,-6.350852961085883,-1.3987174742355444,2.065384140902211,-0.625290961184832,-39.164089278595235,57.830755945261906,-0.7457440977032666,-33.569219381653056,49.569219381653056,-0.4510548978043951,-11.189739793884355,16.52307312721769,-1.1959398433213644,0.274084622027369,0.3225820446392977,-9.36888276109974,C,1.0
2064,Shane McGuire,0.5714285714285714,1.511857892036909,6.0,11.489125293076055,6.0,11.916375287812984,0.42857142857142855,1.1338934190276817,0.2998571428571428,0.006175990377490679,-2.2677868380553634,-3.9641451046821556,5.107002247539298,-1.1699469127355808,-28.467375879228165,40.467375879228165,-1.0349903418992499,-29.749125863438955,41.749125863438955,-3.8111417695097076,-2.973108828511617,3.8302516856544737,-1.3184698558687908,0.28132917172467076,0.3183851139896149,-9.602335718068694,C/1B,1.0
2077,Mitch Garver,4.5,2.2677868380553634,14.125,6.8334785118143575,15.125,7.642690251849429,0.875,0.6408699444616557,0.29874999999999996,0.003370036032024413,0.22047927592204922,-2.3033605141660907,11.30336051416609,-0.7780322507014041,-6.375435535443074,34.625435535443074,-0.41979109810932846,-7.803070755548287,38.05307075554829,-6.046468606442579,-1.047609833384967,2.797609833384967,-2.744777774510462,0.2886398919039267,0.3088601080960732,-9.768590453841725,C/DH,1.0
2078,Nelson Quiroz,0.3333333333333333,0.5773502691896258,7.0,11.269427669584644,6.333333333333333,10.115993936995679,0.0,0.0,0.2996666666666667,0.007371114795831997,-6.350852961085883,-1.3987174742355444,2.065384140902211,-1.1040193904652096,-26.808283008753932,40.80828300875393,-1.1862403313740861,-24.014648477653704,36.68131514432037,0.0,0.0,0.0,-1.1305390791153318,0.2775533222791707,0.3217800110541627,-9.771651762040511,C,1.0
2079,Jonah Heim,4.0,2.9760952365713798,14.5,11.575836902790227,16.25,13.360389215887386,0.625,0.7440238091428449,0.285125,0.0062435681190440295,0.0,-4.928285709714139,12.928285709714139,-0.42689498030811684,-20.22751070837068,49.22751070837068,-0.15593358095106655,-23.831167647662156,56.331167647662156,-5.544177416516038,-1.6070714274285347,2.8570714274285347,-3.6637703895993425,0.26639429564286793,0.3038557043571321,-9.790776367374564,C/DH,1.0
2085,Jair Camargo,3.0,5.196152422706632,9.333333333333334,16.165807537309522,11.666666666666666,20.207259421636902,0.6666666666666666,1.1547005383792517,0.262,0.008888194417315597,-0.19245008972987526,-12.588457268119896,18.588457268119896,-0.625290961184832,-39.164089278595235,57.830755945261906,-0.32991443953692895,-48.95511159824404,72.28844493157737,-3.536270398786457,-2.7974349484710888,4.130768281804422,-5.175404344259704,0.23533541674805322,0.2886645832519468,-9.859330233497797,C/DH,1.0
2096,Nate Baez,2.3333333333333335,4.041451884327381,13.666666666666666,23.671361036774655,14.666666666666666,25.403411844343534,0.3333333333333333,0.5773502691896258,0.3016666666666667,0.004041451884327391,-0.41239304942116123,-9.791022319648809,14.457688986315476,-0.24396569301732104,-57.3474164436573,84.68074977699064,-0.1443375672974064,-61.543568866363934,90.87690219969727,-7.649891066762541,-1.3987174742355444,2.065384140902211,-1.5670935878004006,0.2895423110136845,0.3137910223196489,-10.01768096429883,C/1B,1.0
2100,Yohel Pozo,4.875,1.4577379737113247,18.25,5.4182232195751086,22.25,6.943650748294136,0.75,0.4629100498862757,0.27975,0.012020815280171288,0.6002450479987811,0.5017860788660258,9.248213921133974,-0.21993679816684542,1.9953303412746735,34.50466965872533,0.5640644681947584,1.4190477551175924,43.08095224488241,-8.640987597877148,-0.6387301496588271,2.1387301496588274,-2.3500901845317648,0.24368755415948612,0.3158124458405139,-10.04670506438222,C,1.0
2120,Tyler Heineman,2.625,0.5175491695067657,15.5,3.3380918415851206,13.0,2.9760952365713798,2.125,0.6408699444616557,0.299875,0.014525224365122285,-2.656752403468064,1.0723524914797031,4.177647508520296,-1.1808143255863424,5.485724475244638,25.514275524755362,-1.7920573467526584,4.071714290285861,21.92828570971414,-4.095994862428844,0.20239016661503295,4.047609833384967,-0.5593717381405551,0.25629932690463314,0.34345067309536687,-10.284990676376463,C,1.0
2123,Logan Porter,2.0,3.4641016151377544,12.0,20.784609690826528,10.666666666666666,18.475208614068027,0.3333333333333333,0.5773502691896258,0.30066666666666664,0.00568624070307734,-0.5773502691896258,-8.392304845413264,12.392304845413264,-0.3580373544349525,-50.353829072479584,74.35382907247958,-0.4149705059800434,-44.75895917553742,66.09229250887076,-7.649891066762541,-1.3987174742355444,2.065384140902211,-1.2896628398732097,0.2836079445574346,0.3177253887758987,-10.289912036240372,C,1.0
2155,Matt Thaiss,0.75,1.3887301496588271,4.625,7.4821215478728265,4.875,8.57633787980461,0.25,0.7071067811865476,0.3215,0.00822886904223696,-2.340267474425061,-3.416190448976481,4.916190448976481,-1.9802761251424734,-17.82136464361848,27.07136464361848,-1.5692401024713296,-20.85401363941383,30.60401363941383,-6.363961030678928,-1.8713203435596428,2.371320343559643,1.6405656634839496,0.2968133928732891,0.3461866071267109,-10.613179069233842,C,1.0
