,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
242,Jordan Lawlar,10.0,1.7728105208558367,55.125,9.341726668173134,47.5,8.635475005547093,16.875,3.4408263127170073,0.31025,0.006135377506140691,3.3844564489065974,4.68156843743249,15.318431562567511,3.819779212220477,27.099819995480598,83.1501800045194,3.3775405114288604,21.59357498335872,73.40642501664128,3.5238628451505996,6.552521061848978,27.197478938151022,0.3667256004619245,0.291843867481578,0.3286561325184221,14.472364618168458,2B/3B/SS/OF/DH,1.0
248,Marcelo Mayer,11.125,1.5526475085202969,49.75,6.840008354213778,48.875,5.617256574927962,5.125,1.4577379737113252,0.303375,0.005553313039464435,4.588935969626656,6.467057474439109,15.782942525560891,4.431037473026182,29.229974937358666,70.27002506264134,5.437114409725595,32.023230275216115,65.72676972478388,0.25724787771376323,0.751786078866024,9.498213921133976,-0.8328361767349655,0.2867150608816067,0.3200349391183933,13.88149955335723,3B,1.0
263,Brady House,13.75,1.9820624179302297,53.5,7.653197277702213,59.875,8.47580590352833,5.375,0.5175491695067655,0.28325,0.0055484875674109485,4.919118546317752,7.803812746209311,19.69618725379069,4.450209774751688,30.54040816689336,76.45959183310664,4.901205518329956,34.44758228941501,85.30241771058499,1.2076147288491201,3.8223524914797036,6.927647508520296,-4.460675039693549,0.2666045372977672,0.29989546270223283,11.017473528554966,3B,1.0
273,Brooks Baldwin,10.875,1.8077215335491092,38.0,7.171371656006362,38.875,8.114141095290721,6.75,1.164964745021435,0.299625,0.009560895056725333,3.8031300022754477,5.451835399352673,16.298164600647326,2.5878359431824896,16.485885031980914,59.514114968019086,2.5315885471339197,14.532576714127835,63.217423285872165,1.7167901505579042,3.2551057649356947,10.244894235064304,-0.875964012815816,0.270942314829824,0.32830768517017594,9.763380630333945,3B/OF,1.0
277,Miguel Andujar,8.25,1.0350983390135313,37.0,3.464101615137754,39.5,5.318431562567512,2.125,0.6408699444616557,0.306875,0.008425090080061048,4.105890078087008,5.144704982959406,11.355295017040593,5.068654238260608,26.607695154586736,47.392304845413264,3.9798700834364604,23.544705312297463,55.45529468770253,-4.095994862428844,0.20239016661503295,4.047609833384967,-0.13352972957077694,0.28159972975981684,0.3321502702401832,8.924889807784457,3B/OF/DH,1.0
283,Max Muncy,15.625,4.86997604374669,50.25,9.190574882272962,52.5,9.9666109251507,3.25,1.0645812948447542,0.3208125,0.024454634870851515,2.387075397409218,1.0150718687599287,30.23492813124007,3.3521660753515397,22.678275353181114,77.8217246468189,3.428112818214588,22.6001672245479,82.3998327754521,-1.4090046549415862,0.05625611546573772,6.443743884534262,0.5239293110555394,0.24744859538744546,0.39417640461255454,8.2822789470893,3B,3.5654396260744856
290,Graham Pauley,9.0,1.4142135623730951,36.0,7.211102550927978,36.5,6.969320524371696,4.75,1.164964745021435,0.29874999999999996,0.008531454406237815,3.5355339059327373,4.757359312880714,13.242640687119286,2.2962276872906964,14.366692347216066,57.633307652783934,2.6066625294586294,15.592038426884912,57.40796157311509,0.0,1.2551057649356947,8.244894235064304,-1.0842231065827244,0.2731556367812865,0.3243443632187134,7.3542010160993385,3B,1.0
291,Matt Shaw,9.0,2.9277002188455996,38.625,12.569094750901627,35.0,12.739141034061687,11.625,3.9618718519695424,0.315125,0.007972049386987748,1.707825127659933,0.21689934346320072,17.7831006565368,1.5262303064393166,0.9177157472951194,76.33228425270488,1.3083038033807486,-3.217423102185059,73.21742310218505,1.735290856664703,-0.26061555590862717,23.51061555590863,0.8937475991593407,0.2912088518390368,0.3390411481609632,7.171397693304041,3B,1.0
298,Miguel Vargas,15.666666666666666,6.2048368229954285,63.77777777777778,25.18818064975008,57.333333333333336,21.954498400100153,6.777777777777778,2.773886162848873,0.3095555555555556,0.04770511270060872,1.8802535827258873,-2.9478438023196194,34.28117713565295,1.7601950584529844,-11.786764171472463,139.342319727028,1.7764013228296798,-8.530161866967127,123.1968285336338,0.7310241512201,-1.5438807107688417,15.099436266324396,0.0326077325363019,0.16644021745372944,0.4526708936573817,6.180481847764955,1B/3B,6.295475076313317
299,Kyle Karros,4.5,1.1952286093343936,31.875,12.529251488302997,28.25,10.02496882788171,2.5,1.5118578920369088,0.329,0.004035556254807295,0.4183300132670378,0.9143141719968195,8.08568582800318,0.9923444624717487,-5.71275446490899,69.46275446490898,0.9891967583067363,-1.8249064836451296,58.32490648364513,-1.4882351124738322,-2.035573676110726,7.035573676110726,5.203743591725202,0.3168933312355781,0.3411066687644219,6.115379713296893,3B,1.0
