,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,Team,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,SVHLD_sharpe,SVHLD,SVHLD,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,,,low,high,,low,high,,low,high,,low,high,,low,high,
30,Keegan Akin (BAL),3.625,0.5175491695067657,65.375,2.6692695630078296,18.625,0.5175491695067657,1.25625,0.024458419526091364,4.0225,0.1067373277858182,BAL,-1.4974422637728957,2.072352491479703,5.177647508520296,-0.6556100681071854,57.36719131097651,73.38280868902349,0.37527246675853726,1.3296252585782742,1.182874741421726,-0.9876269984779688,4.342711983357455,3.7022880166425454,13.766807908879967,17.072352491479702,20.177647508520298,66.06863268080032
31,Jose A. Ferrer (SEA),3.875,0.6408699444616557,65.75,5.970163912561961,19.25,0.7071067811865475,1.16625,0.026152028055746825,3.25,0.2544461773005386,SEA,-0.8191989724857582,1.952390166615033,5.797609833384967,-0.23031193450264076,47.83950826231411,83.66049173768589,3.792385478371242,1.2447060841672406,1.0877939158327594,2.6217070360833485,4.013338531901615,2.4866614680983843,10.960155108391488,17.128679656440358,21.371320343559642,60.16535714942364
32,Angel Zerpa (MIL),3.375,0.5175491695067655,56.5,4.1747540560578456,12.0,0.0,1.22625,0.03020761493398647,3.5775,0.16289786458303954,MIL,-1.980488155312544,1.8223524914797034,4.927647508520296,-2.5450601058959195,43.975737831826464,69.02426216817354,1.296976656852569,1.3168728448019595,1.1356271551980406,2.0846395635851054,4.0661935937491185,3.0888064062508818,12.0,12.0,12.0,58.856067959229215
33,Edwin Uceta (TBR),4.0,1.0690449676496976,71.375,6.88554386273984,21.0,0.9258200997725514,1.1875,0.028157719063467177,3.71875,0.23338732368563386,TBR,-0.3741657386773878,0.7928650970509072,7.207134902949093,0.6172351937220649,50.71836841178048,92.03163158821951,2.7675740088506977,1.2719731571904016,1.1030268428095984,0.8498033663579889,4.418911971056902,3.0185880289430984,10.261172772479112,18.222539700682347,23.777460299317653,55.16631069264892
34,Ryan Walker (SFG),4.25,1.9820624179302297,66.0,3.5456210417116734,32.5,2.0701966780270626,1.21,0.056061191058138955,3.43875,0.29921027006820095,SFG,-0.07567874686642355,-1.696187253790689,10.19618725379069,-0.3172927920849935,55.36313687486498,76.63686312513502,0.9887155513889941,1.3781835731744168,1.0418164268255832,1.5986527909764041,4.336380810204603,2.5411191897953973,10.143963722332607,26.289409965918814,38.710590034081186,52.91421541507702
35,Tyler Holton (DET),4.0,0.7559289460184544,59.25,3.654742515847437,15.125,0.35355339059327373,1.14625,0.05680480361981468,3.635,0.13669569958749356,DET,-0.5291502622129093,1.732213161944637,6.267786838055363,-2.1547345581400004,48.28577245245769,70.21422754754231,2.0980368531192255,1.316664410859444,0.9758355891405559,2.063586010273739,4.0450870987624805,3.224912901237519,10.25304832720494,14.064339828220179,16.185660171779823,52.74297967906475
36,Hoby Milner (CHC),3.125,0.3535533905932738,49.5,1.6903085094570327,13.0,0.0,1.2575,0.03240370349203932,3.9225,0.10687108388815253,CHC,-3.606244584051373,2.0643398282201786,4.185660171779821,-10.427090617713077,44.4290744716289,54.5709255283711,0.2446810263684623,1.354711110476118,1.160288889523882,-0.050684118375139864,4.243113251664457,3.6018867483355423,13.0,13.0,13.0,51.16066170622887
37,Andres Munoz (SEA),4.125,0.8345229603962804,80.0,2.9760952365713798,33.125,2.9489707647632857,1.105,0.03505098327538651,2.88125,0.1914185764981327,SEA,-0.32952957923339476,1.621431118811159,6.628568881188841,4.32613843864509,71.07171429028585,88.92828570971415,4.577006304448745,1.2101529498261596,0.9998470501738405,5.41135219101077,3.4555057294943983,2.306994270505602,7.333066932501734,24.278087705710142,41.97191229428986,50.65030201737988
38,Dylan Lee (ATL),3.0,0.5345224838248488,72.0,1.7728105208558365,17.5,0.7559289460184548,1.14875,0.03642506985972314,3.56,0.11451762185046332,ATL,-2.619160170741746,1.3964325485254536,4.603567451474547,2.749870864736611,66.68156843743249,77.31843156256751,3.2032490775697444,1.2580252095791693,1.0394747904208306,3.118151840418161,3.90355286555139,3.21644713444861,7.937253933193768,15.232213161944635,19.767786838055365,46.13838127795161
39,Danny Coulombe (BOS),2.5,0.5345224838248488,48.0,5.656854249492381,10.0,0.0,1.27625,0.028252686345094487,3.8274999999999997,0.35386639932526576,BOS,-3.5545745174352317,0.8964325485254536,4.103567451474547,-3.38085429754818,31.029437251522857,64.97056274847714,-0.3830229960878556,1.3610080590352835,1.1914919409647167,0.25315580542302535,4.889099197975797,2.7659008020242024,10.0,10.0,10.0,42.93470399435176
40,Erik Miller (SFG),3.375,1.0606601717798212,63.25,6.7347711807560975,17.125,0.6408699444616557,1.36625,0.025035688811888376,3.55875,0.13206464867091203,SFG,-0.9663792676216086,0.1930194846605362,6.556980515339464,-0.5753721835527844,43.045686457731705,83.4543135422683,-4.027108234527688,1.4413570664356652,1.2911429335643347,2.7133175830138585,3.954943946012736,3.162556053987264,8.777131848061808,15.202390166615032,19.047609833384968,41.03011713762081
41,Josh Hader (HOU),4.125,1.8077215335491092,77.125,8.871100753087443,29.625,3.2923070504261474,1.06875,0.03399054490379855,3.19125,0.12944248584934223,HOU,-0.15212520009101418,-1.2981646006473273,9.548164600647327,1.1272558252164662,50.511697740737674,103.73830225926233,5.786272976359141,1.1707216347113958,0.9667783652886044,5.607380981373678,3.5795774575480266,2.8029225424519737,5.505258082673045,19.74807884872156,39.50192115127844,39.8950749962235
42,Landen Roupp (SFG),7.75,0.5,120.0,1.632993161855452,1.0,0.0,1.3450000000000002,0.02081665999466135,3.97,0.12110601416389967,SFG,6.7000000000000135,6.25,9.25,32.379192537415136,115.10102051443364,124.89897948556636,-3.822487785832864,1.4074499799839844,1.282550020016016,-0.43694499428452666,4.333318042491699,3.606681957508301,1.0,1.0,1.0,39.81975975729777
43,Joel Payamps (ATL),2.625,0.5175491695067657,49.5,2.507132682112035,10.0,0.0,1.2625,0.024348657927227634,4.04875,0.2194432891269567,ATL,-3.4296258299314872,1.0723524914797031,4.177647508520296,-7.029943060353915,41.9786019536639,57.0213980463361,0.12027650301402316,1.3355459737816828,1.189454026218317,-0.6000031588593825,4.7070798673808705,3.3904201326191297,10.0,10.0,10.0,39.06070445386924
44,Taylor Rogers (MIN),3.375,0.5175491695067657,60.375,5.9985117201805025,24.25,1.3887301496588271,1.3487500000000001,0.03181980515339466,4.2,0.23646201748755705,MIN,-1.9804881553125435,1.8223524914797031,4.927647508520296,-1.125279121701355,42.37946483945849,78.37053516054151,-2.6185398738225616,1.444209415460184,1.2532905845398161,-1.1964571294480915,4.909386052462671,3.4906139475373292,9.18104932274447,20.08380955102352,28.41619044897648,38.984482333437796
45,Abner Uribe (MIL),3.625,0.7440238091428449,81.875,5.962681563572837,26.625,2.6152028055746874,1.20125,0.030443155458751564,3.04625,0.13351698661326095,MIL,-1.0416333327999738,1.3929285725714653,5.857071427428535,2.4737192222557334,63.986955309281484,99.76304469071852,2.108144522519333,1.2925794663762546,1.1099205336237452,6.52226623310297,3.446800959839783,2.6456990401602174,5.783490277602505,18.779391583275938,34.47060841672406,38.97994803309059
46,Jose Butto (SFG),3.0,0.7559289460184544,57.5,1.6903085094570343,14.875,0.35355339059327373,1.3375,0.05203021100421233,4.005,0.28620671849955914,SFG,-1.8520259177452045,0.732213161944637,5.267786838055363,-5.694226791233377,52.429074471628894,62.570925528371106,-1.3851842454683392,1.493590633012637,1.1814093669873629,-0.3071789059584989,4.863620155498677,3.1463798445013227,9.545941546018392,13.814339828220179,15.935660171779821,38.49109186968654
47,Alex Vesia (LAD),3.875,0.8345229603962802,76.0,1.195228609334396,19.875,1.7268882005337967,1.1512499999999999,0.04323936698360474,3.505,0.10295630140986999,LAD,-0.6291019239910339,1.3714311188111594,6.378568881188841,7.425357735489905,72.4143141719968,79.5856858280032,2.6406161651687747,1.280968100950814,1.0215318990491857,4.002507157797227,3.8138689042296097,3.19613109577039,4.849763868564978,14.69433539839861,25.05566460160139,37.68819847728976
48,Dustin May (STL),9.25,0.5,144.75,2.9860788111948193,1.0,0.0,1.3,0.052281290471193724,4.19,0.10614455552060445,STL,9.700000000000014,7.75,10.75,25.99563002456051,135.79176356641554,153.70823643358446,-0.6612581338342607,1.4568438714135812,1.143156128586419,-2.5711791370560633,4.508433666561814,3.871566333438187,1.0,1.0,1.0,37.4631927536702
49,Carlos Vargas (SEA),2.875,0.6408699444616557,43.5,3.664501525251616,10.0,0.0,1.3362500000000002,0.023260942125619688,4.0675,0.20176011215585427,SEA,-2.379577967696746,0.952390166615033,4.797609833384967,-6.446988720622196,32.50649542424515,54.49350457575485,-3.0446500485217065,1.4060328263768591,1.2664671736231412,-0.7455223188539557,4.672780336467563,3.462219663532437,10.0,10.0,10.0,37.38326094430539
50,Aaron Ashby (MIL),4.125,0.8345229603962804,78.875,3.7583240945932292,13.875,0.35355339059327373,1.35375,0.05012484413940854,3.6262499999999998,0.23969847129854033,MIL,-0.32952957923339476,1.621431118811159,6.628568881188841,3.126393494617373,67.60002771622031,90.14997228377969,-1.7620289915672664,1.5041245324182255,1.2033754675817745,1.2133299464021428,4.345345413895621,2.9071545861043786,6.717514421272202,12.814339828220179,14.935660171779821,35.83573697657987
51,Kris Bubic (KCR),9.75,0.957427107756338,140.25,2.8722813232690165,1.0,0.0,1.2875,0.0221735578260835,3.8125,0.2364141845716257,KCR,5.587892756177908,6.877718676730986,12.622281323269014,25.458857183520788,131.63315603019294,148.86684396980706,-0.9953940970837417,1.3540206734782505,1.2209793265217497,0.4423733437265392,4.521742553714877,3.103257446285123,1.0,1.0,1.0,35.4937291863415
52,Mark Leiter Jr. (ATH),4.125,1.1259916264596033,65.125,4.703721930556693,19.625,1.060660171779821,1.3162500000000001,0.019226098333849733,4.19125,0.3546200179669176,ATH,-0.24422916968278122,0.7470251206211902,7.50297487937881,-0.42519520276218725,51.013834208329925,79.23616579167008,-2.643356321649082,1.3739282950015492,1.258571704998451,-0.7731280039928367,5.2551100539007525,3.1273899460992474,7.660323462854267,16.44301948466054,22.80698051533946,34.21570861618444
53,Cole Henry (WSN),2.0,0.7559289460184544,58.875,4.703721930556695,22.75,1.2817398889233114,1.4224999999999999,0.06341473465550868,4.75875,0.33288511531758214,WSN,-3.1749015732775,-0.26778683805536296,4.267786838055363,-1.7539302113940218,44.76383420832992,72.98616579167009,-2.476891678640556,1.6127442039665258,1.232255796033474,-2.5283998230551465,5.757405345952747,3.7600946540472537,8.777131848061808,18.904780333230065,26.595219666769935,33.951535953941814
