,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,Total_sharpe
38,Shane Baz,9.375,0.5175491695067657,149.375,5.52752850997364,1.26875,0.029489707647632896,4.20875,0.10815828348173015,4.975372682858407,7.822352491479704,10.927647508520296,9.656214328644781,132.79241447007908,165.95758552992092,0.38148903117060934,1.3572191229428987,1.1802808770571014,-0.5431853955959256,4.53322485044519,3.88427514955481,14.469890647077873
39,Brandon Pfaadt,9.625,0.5175491695067657,142.125,5.166858675387638,1.25375,0.03159452936370927,4.3475,0.23765220686661365,5.4584185743980544,8.072352491479704,11.177647508520296,8.92708759767646,126.62442397383708,157.62557602616292,0.8308400387236627,1.3485335880911278,1.158966411908872,-0.8310463538461902,5.060456620599841,3.634543379400159,14.385299856951987
40,Gavin Williams,9.5,0.5345224838248488,168.375,8.03452372132732,1.3025,0.035757117173668106,3.92625,0.2369410716371723,5.0512374721448525,7.896432548525453,11.103567451474547,9.008001284243331,144.27142883601803,192.47857116398197,-0.6292453580841015,1.4097713515210044,1.1952286484789956,0.9443276273462144,4.637073214911517,3.215426785088483,14.374321025650296
41,Nick Lodolo,8.625,0.9161253813129042,153.75,8.084376466811955,1.19875,0.016420805617960967,4.18625,0.2713425615606326,1.9920854036208446,5.876623856061287,11.373376143938714,7.143408058379734,129.49687059956415,178.00312940043585,4.947991096802786,1.2480124168538829,1.149487583146117,-0.1335949649458133,5.0002776846818975,3.3722223153181026,13.949889593857552
42,Matthew Boyd,10.375,0.7440238091428449,145.375,9.54594154601839,1.21625,0.02326094212561969,4.005,0.13533028380331463,4.804953760980589,8.142928572571465,12.607071427428535,5.172355158679376,116.73717536194482,174.01282463805518,2.7406456563848924,1.2860328263768592,1.1464671736231409,1.0714527149794464,4.410990851409943,3.599009148590056,13.789407291024304
43,Carlos Rodon,10.25,0.8864052604279183,152.25,13.263806822649801,1.2325,0.01164964745021436,4.03375,0.08895223437328624,3.892124916242606,7.590784218716244,12.909215781283756,4.240863935378286,112.45857953205059,192.04142046794942,4.077376607575028,1.267448942350643,1.1975510576493569,1.3068811685174675,4.300606703119859,3.766893296880142,13.517246627713387
44,Michael King,9.875,0.8345229603962802,158.875,14.865468134476727,1.25125,0.014577379737113233,3.84875,0.09716517600751527,3.6847398405189806,7.371431118811159,12.37856888118884,4.229601074868083,114.27859559656983,203.47140440343017,1.9722337291388576,1.2949821392113396,1.2075178607886603,3.100390617073551,4.140245528022546,3.557254471977454,12.98696526159947
45,Zac Gallen,11.75,1.7525491637693282,163.5,6.611677980232076,1.28375,0.039256482631171055,4.1675,0.23462736413300114,2.8244571406794154,6.492352508692015,17.007647491307985,10.20920864594659,143.66496605930377,183.33503394069623,-0.09552562401559343,1.4015194478935131,1.1659805521064868,-0.07458635553728507,4.871382092399004,3.463617907600997,12.863553807073128
46,Jacob Misiorowski,8.75,0.46291004988627593,157.375,8.733147035453895,1.26625,0.04373213921133984,3.90375,0.22519436049777092,4.212481453965144,7.361269850341172,10.138730149658828,7.027821671939835,131.1755588936383,183.5744411063617,0.314414072761264,1.3974464176340196,1.1350535823659806,1.0934998525526478,4.579333081493313,3.2281669185066875,12.648217051218893
47,Brady Singer,10.125,0.83452296039628,156.0,5.345224838248491,1.3075,0.026592157812837563,4.50875,0.22067671894813506,3.9843121852766203,7.621431118811159,12.62856888118884,11.224972160321817,139.96432548525453,172.03567451474547,-1.0341394704992406,1.3872764734385128,1.2277235265614874,-1.625681230489545,5.170780156844405,3.846719843155595,12.549463644609652
48,Ryan Pepiot,9.625,0.7440238091428449,157.625,10.027640371920583,1.2325,0.028157719063467198,4.1,0.23838743974582943,3.796921503432219,7.392928572571465,11.857071427428535,6.145513571922906,127.54207888423825,187.70792111576174,1.6869264123608736,1.3169731571904015,1.1480268428095983,0.2097425940448503,4.815162319237488,3.3848376807625113,11.83910408176085
49,Aaron Nola,10.625,1.0606601717798214,164.75,13.997448747131436,1.21625,0.01846811924835411,4.175,0.15757084574429206,3.606244584051408,7.443019484660535,13.806980515339465,4.911609339815533,122.7576537586057,206.7423462413943,3.4518945401374,1.2716543577450623,1.1608456422549378,-0.1586587917448243,4.647712537232876,3.7022874627671234,11.811089672259516
50,Jack Leiter,9.5,0.5345224838248488,147.625,7.130167299179289,1.2875,0.044641428548570686,4.27625,0.20701535484803335,5.0512374721448525,7.896432548525453,11.103567451474547,7.240363070575111,126.23449810246214,169.01550189753786,-0.1680053762580632,1.4214242856457122,1.153575714354288,-0.6098581435791458,4.897296064544101,3.6552039354559,11.513737022882754
51,Nathan Eovaldi,9.875,1.642080561796093,149.875,23.763342117038764,1.16875,0.028504385627478406,3.7725,0.11209052464096021,1.8726243227899912,4.948758314611721,14.801241685388279,2.267147429627359,78.5849736488837,221.1650263511163,3.9029081859162886,1.2542631568824352,1.0832368431175647,3.3678136596218056,4.108771573922881,3.436228426077119,11.410493597955444
52,Joe Musgrove,7.625,1.407885953173359,120.875,20.378122021983703,1.205,0.009258200997725488,3.9537500000000003,0.14946929928440633,0.5859849642937884,3.4013421404799233,11.848657859520078,1.2206718545097095,59.74063393404889,182.0093660659511,8.100925873009844,1.2327746029931765,1.1772253970068236,1.3129786580893819,4.402157897853219,3.5053421021467814,11.220561349902724
54,Clay Holmes,10.625,0.5175491695067659,122.875,6.812540956626558,1.34375,0.018468119248354082,3.88875,0.09433034657899997,7.390602140556643,9.072352491479702,12.177647508520298,3.9449304115902146,102.43737713012032,143.31262286987968,-3.4518945401374053,1.3991543577450622,1.2883456422549378,2.7695223167786014,4.171741039737,3.605758960263,10.653160328788054
