,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
197,Brayan Rocchio,8.625,1.0606601717798212,52.875,6.62112420320641,46.25,6.6493823558497285,11.625,0.9161253813129042,0.304375,0.009440603794249637,4.360491817317043,5.443019484660536,11.806980515339465,5.049494965997261,33.01162739038077,72.73837260961923,4.198384928505015,26.301852932450814,66.19814706754919,7.5044313150099615,8.876623856061286,14.373376143938714,-0.3839796774659701,0.2760531886172511,0.3326968113827489,20.728823349363314,2B/SS,1.0
207,Zach McKinstry,7.75,0.8864052604279183,46.875,6.2206453500765155,35.625,3.0676887530703443,13.125,1.6420805617960925,0.30825,0.005849297882163793,4.230570561133247,5.090784218716244,10.409215781283756,4.410046191267914,28.213063949770454,65.53693605022954,5.636708303396175,26.421933740788965,44.828066259211035,5.100236976704421,8.198758314611723,18.051241685388277,0.0427401724166503,0.2907021063535086,0.3257978936464914,19.420302204918407,3B/SS/OF,1.0
208,Kevin McGonigle,14.625,2.38671920665766,60.25,9.114352888243276,57.75,9.808888097755304,9.25,1.2817398889233111,0.329625,0.00734725410321045,4.451717642511937,7.46484238002702,21.78515761997298,4.477370344741929,32.90694133527017,87.59305866472982,4.0184643023592965,28.32333570673409,87.17666429326592,3.5108527392247235,5.404780333230066,13.095219666769934,2.943276453518977,0.30758323769036866,0.35166676230963134,19.40168148235686,3B/SS,13.02391538661101
210,Anthony Volpe,14.25,1.6690459207925603,56.625,6.802048010919735,53.0,9.546876826630642,17.375,2.133909892327093,0.29325,0.007440238091428466,6.1412330675316005,9.242862237622319,19.25713776237768,5.466490867697606,36.21885596724079,77.03114403275922,3.631204978990129,24.359369520108075,81.64063047989193,5.916369779902963,10.97327032301872,23.77672967698128,-1.9824634398451224,0.2709292857257146,0.3155707142742854,19.172835254277174,SS,3.2917080242880457
214,Brooks Lee,13.875,1.3562026818605375,56.25,5.444525428617001,60.375,6.345695954176906,4.375,0.5175491695067657,0.29612499999999997,0.006854352110677058,7.281360029794925,9.806391954418388,17.943608045581612,6.760613723992344,39.916423714149,72.583576285851,6.625225502490981,41.33791213746928,79.41208786253071,-0.724568837309472,2.822352491479703,5.927647508520296,-1.732475923071165,0.2755619436679688,0.3166880563320311,18.210154495897612,2B/3B/SS,1.0
217,Joey Ortiz,10.75,1.8322507626258084,64.125,11.2305387226081,56.75,8.811518435709997,13.125,1.457737973711325,0.30625,0.009207915849187266,3.683993554641254,5.253247712122574,16.246752287877428,3.9787346303683333,30.4333838321757,97.8166161678243,4.359823672498645,30.31544469287001,83.18455530712998,5.7452026022740466,8.751786078866026,17.498213921133974,-0.19005386546342481,0.2786262524524382,0.3338737475475618,17.577700594318856,SS,3.10339088179991
221,Ernie Clement,10.125,1.1259916264596035,65.0,9.561828874675149,59.75,8.32809359080113,8.5,1.6903085094570331,0.3015,0.00968061391205567,5.43964968838935,6.747025120621189,13.502974879378812,4.764604546939372,36.314513375974556,93.68548662402544,4.97312694857486,34.76571922759661,84.7342807724034,2.218529918662356,3.4290744716289003,13.570925528371099,-0.671445019814837,0.27245815826383296,0.330541841736167,16.724466082751103,1B/2B/3B/SS,1.0
222,Gabriel Arias,11.75,1.164964745021435,46.0,5.154748157905346,46.25,4.527692569068709,8.25,1.3887301496588271,0.285125,0.0060577577181188495,6.652561833411879,8.255105764935696,15.244894235064304,5.1522077354261056,30.53575552628396,61.464244473716036,6.165760205845599,32.66692229279387,59.83307770720613,2.520288049380835,4.083809551023519,12.416190448976481,-3.776149701659492,0.26695172684564344,0.3032982731543566,16.714668122404927,2B/SS,1.0
242,Jordan Lawlar,10.0,1.7728105208558367,55.125,9.341726668173134,47.5,8.635475005547093,16.875,3.4408263127170073,0.31025,0.006135377506140691,3.3844564489065974,4.68156843743249,15.318431562567511,3.819779212220477,27.099819995480598,83.1501800045194,3.3775405114288604,21.59357498335872,73.40642501664128,3.5238628451505996,6.552521061848978,27.197478938151022,0.3667256004619245,0.291843867481578,0.3286561325184221,14.472364618168458,2B/3B/SS/OF/DH,1.0
251,Konnor Griffin,11.5,1.9272482233188635,60.125,18.185060587510524,52.25,14.508618128546908,20.75,5.922113522335466,0.31825000000000003,0.005391792704790216,3.8915589124707806,5.71825533004341,17.28174466995659,2.23718437106966,5.569818237468425,114.68018176253157,2.337691044465001,8.724145614359273,95.77585438564073,2.7017381446092545,2.9836594329936013,38.516340567006395,1.901037476996038,0.3020746218856294,0.3344253781143707,13.069209949610734,SS,1.0
